source,target,type,id,label,timeset,weight
10,5,Directed,1,,,
9,8,Directed,2,,,
12,2,Directed,3,,,
11,1,Directed,4,,,
13,8,Directed,5,,,
14,5,Directed,6,,,
14,7,Directed,7,,,
16,7,Directed,8,,,
17,4,Directed,9,,,
17,3,Directed,10,,,
17,5,Directed,11,,,
19,8,Directed,12,,,
20,6,Directed,13,,,
20,8,Directed,14,,,
20,7,Directed,15,,,
22,1,Directed,16,,,
23,2,Directed,17,,,
24,5,Directed,18,,,
25,4,Directed,19,,,
26,6,Directed,20,,,
26,8,Directed,21,,,
26,7,Directed,22,,,
28,1,Directed,23,,,
28,2,Directed,24,,,
29,4,Directed,25,,,
28,3,Directed,26,,,
30,7,Directed,27,,,
31,2,Directed,28,,,
32,2,Directed,29,,,
32,5,Directed,30,,,
32,1,Directed,31,,,
32,4,Directed,32,,,
32,6,Directed,33,,,
32,8,Directed,34,,,
32,3,Directed,35,,,
33,8,Directed,36,,,
34,8,Directed,37,,,
34,6,Directed,38,,,
34,4,Directed,39,,,
34,7,Directed,40,,,
34,5,Directed,41,,,
34,2,Directed,42,,,
35,3,Directed,43,,,
36,3,Directed,44,,,
36,2,Directed,45,,,
36,5,Directed,46,,,
36,1,Directed,47,,,
38,7,Directed,48,,,
30,5,Directed,49,,,
40,1,Directed,50,,,
41,8,Directed,51,,,
42,3,Directed,52,,,
43,7,Directed,53,,,
44,4,Directed,54,,,
45,4,Directed,55,,,
46,4,Directed,56,,,
47,7,Directed,57,,,
48,8,Directed,58,,,
48,6,Directed,59,,,
48,5,Directed,60,,,
48,7,Directed,61,,,
49,7,Directed,62,,,
49,8,Directed,63,,,
50,8,Directed,64,,,
50,6,Directed,65,,,
50,7,Directed,66,,,
51,8,Directed,67,,,
52,3,Directed,68,,,
53,3,Directed,69,,,
54,7,Directed,70,,,
55,4,Directed,71,,,
55,5,Directed,72,,,
56,7,Directed,73,,,
57,1,Directed,74,,,
58,7,Directed,75,,,
58,5,Directed,76,,,
58,4,Directed,77,,,
58,6,Directed,78,,,
58,8,Directed,79,,,
59,2,Directed,80,,,
60,7,Directed,81,,,
60,8,Directed,82,,,
60,6,Directed,83,,,
61,3,Directed,84,,,
61,4,Directed,85,,,
61,2,Directed,86,,,
61,5,Directed,87,,,
62,2,Directed,88,,,
63,2,Directed,89,,,
63,5,Directed,90,,,
63,1,Directed,91,,,
63,4,Directed,92,,,
63,6,Directed,93,,,
63,8,Directed,94,,,
63,3,Directed,95,,,
73,8,Directed,96,,,
92,7,Directed,97,,,
87,7,Directed,98,,,
83,8,Directed,99,,,
85,8,Directed,100,,,
78,8,Directed,101,,,
71,8,Directed,102,,,
69,8,Directed,103,,,
74,8,Directed,104,,,
95,8,Directed,105,,,
68,8,Directed,106,,,
76,8,Directed,107,,,
75,8,Directed,108,,,
70,8,Directed,109,,,
72,8,Directed,110,,,
79,8,Directed,111,,,
86,4,Directed,112,,,
80,4,Directed,113,,,
67,4,Directed,114,,,
65,4,Directed,115,,,
81,4,Directed,116,,,
89,4,Directed,117,,,
93,7,Directed,118,,,
77,7,Directed,119,,,
73,7,Directed,120,,,
64,7,Directed,121,,,
71,7,Directed,122,,,
82,7,Directed,123,,,
90,7,Directed,124,,,
66,7,Directed,125,,,
85,7,Directed,126,,,
74,7,Directed,127,,,
78,7,Directed,128,,,
68,7,Directed,129,,,
83,7,Directed,130,,,
69,7,Directed,131,,,
95,7,Directed,132,,,
88,5,Directed,133,,,
84,5,Directed,134,,,
94,5,Directed,135,,,
91,5,Directed,136,,,
77,8,Directed,137,,,
97,7,Directed,138,,,
98,8,Directed,139,,,
99,8,Directed,140,,,
99,7,Directed,141,,,
99,4,Directed,142,,,
99,6,Directed,143,,,
100,1,Directed,144,,,
101,1,Directed,145,,,
102,6,Directed,146,,,
103,1,Directed,147,,,
104,7,Directed,148,,,
104,2,Directed,149,,,
106,5,Directed,150,,,
106,7,Directed,151,,,
106,6,Directed,152,,,
107,6,Directed,153,,,
107,4,Directed,154,,,
107,8,Directed,155,,,
107,5,Directed,156,,,
107,2,Directed,157,,,
107,1,Directed,158,,,
