order,movie,year,actor,character
0,Harry Potter and the Sorcerer's Stone,2001,Richard Harris,Professor Albus Dumbledore
0,Harry Potter and the Sorcerer's Stone,2001,Maggie Smith,Professor Minerva McGonagall
0,Harry Potter and the Sorcerer's Stone,2001,Robbie Coltrane,Rubeus Hagrid
0,Harry Potter and the Sorcerer's Stone,2001,Saunders Triplets,Baby Harry Potter
0,Harry Potter and the Sorcerer's Stone,2001,Daniel Radcliffe,Harry Potter
0,Harry Potter and the Sorcerer's Stone,2001,Fiona Shaw,Aunt Petunia Dursley
0,Harry Potter and the Sorcerer's Stone,2001,Harry Melling,Dudley Dursley
0,Harry Potter and the Sorcerer's Stone,2001,Richard Griffiths,Uncle Vernon Dursley
0,Harry Potter and the Sorcerer's Stone,2001,Derek Deadman,Tom - Bartender in Leaky Cauldron
0,Harry Potter and the Sorcerer's Stone,2001,Ian Hart,Professor Quirinus Quirrell
0,Harry Potter and the Sorcerer's Stone,2001,Ben Borowiecki,Diagon Alley Boy
0,Harry Potter and the Sorcerer's Stone,2001,Warwick Davis,Goblin Bank Teller / Professor Flitwick
0,Harry Potter and the Sorcerer's Stone,2001,Verne Troyer,Griphook the Goblin
0,Harry Potter and the Sorcerer's Stone,2001,John Hurt,Mr. Ollivander
0,Harry Potter and the Sorcerer's Stone,2001,Richard Bremmer,He Who Must Not Be Named
1,Harry Potter and the Chamber of Secrets,2002,Daniel Radcliffe,Harry Potter
1,Harry Potter and the Chamber of Secrets,2002,Rupert Grint,Ron Weasley
1,Harry Potter and the Chamber of Secrets,2002,Emma Watson,Hermione Granger
1,Harry Potter and the Chamber of Secrets,2002,Richard Griffiths,Uncle Vernon Dursley
1,Harry Potter and the Chamber of Secrets,2002,Fiona Shaw,Aunt Petunia Dursley
1,Harry Potter and the Chamber of Secrets,2002,Harry Melling,Dudley Dursley
1,Harry Potter and the Chamber of Secrets,2002,Toby Jones,Dobby the House Elf
1,Harry Potter and the Chamber of Secrets,2002,Jim Norton,Mr. Mason
1,Harry Potter and the Chamber of Secrets,2002,Veronica Clifford,Mrs. Mason
1,Harry Potter and the Chamber of Secrets,2002,James Phelps,Fred Weasley
1,Harry Potter and the Chamber of Secrets,2002,Oliver Phelps,George Weasley
1,Harry Potter and the Chamber of Secrets,2002,Julie Walters,Mrs Weasley
1,Harry Potter and the Chamber of Secrets,2002,Bonnie Wright,Ginny Weasley
1,Harry Potter and the Chamber of Secrets,2002,Mark Williams,Arthur Weasley
1,Harry Potter and the Chamber of Secrets,2002,Chris Rankin,Percy Weasley
2,Harry Potter and the Prisoner of Azkaban,2004,Daniel Radcliffe,Harry Potter
2,Harry Potter and the Prisoner of Azkaban,2004,Richard Griffiths,Uncle Vernon
2,Harry Potter and the Prisoner of Azkaban,2004,Pam Ferris,Aunt Marge
2,Harry Potter and the Prisoner of Azkaban,2004,Fiona Shaw,Aunt Petunia
2,Harry Potter and the Prisoner of Azkaban,2004,Harry Melling,Dudley Dursley
