order,movie,year,actor,character,rank
0,Harry Potter e a Pedra Filosofal,2001,Richard Harris,Professor Albus Dumbledore,10
0,Harry Potter e a Pedra Filosofal,2001,Maggie Smith,Professor Minerva McGonagall,10
0,Harry Potter e a Pedra Filosofal,2001,Robbie Coltrane,Rubeus Hagrid,10
0,Harry Potter e a Pedra Filosofal,2001,Saunders Triplets,Baby Harry Potter,10
0,Harry Potter e a Pedra Filosofal,2001,Daniel Radcliffe,Harry Potter,10
0,Harry Potter e a Pedra Filosofal,2001,Fiona Shaw,Aunt Petunia Dursley,10
0,Harry Potter e a Pedra Filosofal,2001,Harry Melling,Dudley Dursley,10
0,Harry Potter e a Pedra Filosofal,2001,Richard Griffiths,Uncle Vernon Dursley,10
0,Harry Potter e a Pedra Filosofal,2001,Derek Deadman,Tom - Bartender in Leaky Cauldron,10
0,Harry Potter e a Pedra Filosofal,2001,Ian Hart,Professor Quirinus Quirrell,10
0,Harry Potter e a Pedra Filosofal,2001,Ben Borowiecki,Diagon Alley Boy,10
0,Harry Potter e a Pedra Filosofal,2001,Warwick Davis,Goblin Bank Teller,10
0,Harry Potter e a Pedra Filosofal,2001,Verne Troyer,Griphook the Goblin,10
0,Harry Potter e a Pedra Filosofal,2001,John Hurt,Mr. Ollivander,10
0,Harry Potter e a Pedra Filosofal,2001,Richard Bremmer,He Who Must Not Be Named,10
0,Harry Potter e a Pedra Filosofal,2001,Geraldine Somerville,Lily Potter,10
0,Harry Potter e a Pedra Filosofal,2001,Harry Taylor,Station Guard,10
0,Harry Potter e a Pedra Filosofal,2001,Julie Walters,Molly Weasley,10
0,Harry Potter e a Pedra Filosofal,2001,Bonnie Wright,Ginny Weasley,10
0,Harry Potter e a Pedra Filosofal,2001,Chris Rankin,Percy Weasley,10
0,Harry Potter e a Pedra Filosofal,2001,James Phelps,Fred Weasley,10
0,Harry Potter e a Pedra Filosofal,2001,Oliver Phelps,George Weasley,10
0,Harry Potter e a Pedra Filosofal,2001,Rupert Grint,Ron Weasley,10
0,Harry Potter e a Pedra Filosofal,2001,Jean Southern,Dimpled Woman on Train,10
0,Harry Potter e a Pedra Filosofal,2001,Emma Watson,Hermione Granger,10
0,Harry Potter e a Pedra Filosofal,2001,Matthew Lewis,Neville Longbottom,10
0,Harry Potter e a Pedra Filosofal,2001,Tom Felton,Draco Malfoy,10
0,Harry Potter e a Pedra Filosofal,2001,Jamie Waylett,Vincent Crabbe,10
0,Harry Potter e a Pedra Filosofal,2001,Josh Herdman,Gregory Goyle,10
0,Harry Potter e a Pedra Filosofal,2001,Devon Murray,Seamus Finnigan,10
0,Harry Potter e a Pedra Filosofal,2001,Alfred Enoch,Dean Thomas,10
0,Harry Potter e a Pedra Filosofal,2001,Leslie Phillips,The Sorting Hat,10
0,Harry Potter e a Pedra Filosofal,2001,Eleanor Columbus,Susan Bones,10
0,Harry Potter e a Pedra Filosofal,2001,John Cleese,Nearly Headless Nick,10
0,Harry Potter e a Pedra Filosofal,2001,Terence Bayler,The Bloody Baron,10
0,Harry Potter e a Pedra Filosofal,2001,Simon Fisher-Becker,Fat Friar,10
0,Harry Potter e a Pedra Filosofal,2001,Nina Young,The Grey Lady,10
0,Harry Potter e a Pedra Filosofal,2001,David Bradley,Argus Filch,10
0,Harry Potter e a Pedra Filosofal,2001,Alan Rickman,Severus Snape,10
0,Harry Potter e a Pedra Filosofal,2001,Zoë Wanamaker,Madame Hooch,10
0,Harry Potter e a Pedra Filosofal,2001,Luke Youngblood,Lee Jordan,10
0,Harry Potter e a Pedra Filosofal,2001,Sean Biggerstaff,Oliver Wood,10
0,Harry Potter e a Pedra Filosofal,2001,Elizabeth Spriggs,Fat Lady,10
0,Harry Potter e a Pedra Filosofal,2001,Danielle Tabor,Angelina Johnson,10
0,Harry Potter e a Pedra Filosofal,2001,Leilah Sutherland,Alicia Spinnet,10
0,Harry Potter e a Pedra Filosofal,2001,Emily Dale,Katie Bell,10
0,Harry Potter e a Pedra Filosofal,2001,David Holmes,Adrian Pucey,10
0,Harry Potter e a Pedra Filosofal,2001,Will Theakston,Marcus Flint,10
0,Harry Potter e a Pedra Filosofal,2001,Scot Fearn,Terrence Higgs,10
0,Harry Potter e a Pedra Filosofal,2001,Adrian Rawlins,James Potter,10
0,Harry Potter e a Pedra Filosofal,2001,Ray Fearon,Firenze,10
0,Harry Potter e a Pedra Filosofal,2001,Mark Ballas,Hogwarts Schoolboy,10
0,Harry Potter e a Pedra Filosofal,2001,Lukas Bennett,Hogwarts Schoolboy,10
0,Harry Potter e a Pedra Filosofal,2001,David Brett,Dedalus Diggle,10
0,Harry Potter e a Pedra Filosofal,2001,Maria Coyne,Hogwarts Student,10
0,Harry Potter e a Pedra Filosofal,2001,Paul Marc Davis,Ghost of the Cavalier,10
0,Harry Potter e a Pedra Filosofal,2001,David William James Elliott,Griffindor Senior,10
0,Harry Potter e a Pedra Filosofal,2001,Holly-Ann Filtness,Schoolgirl,10
0,Harry Potter e a Pedra Filosofal,2001,Rusty Goffe,Gringott's Goblin,10
0,Harry Potter e a Pedra Filosofal,2001,Paul Grant,Goblin,10
0,Harry Potter e a Pedra Filosofal,2001,Derek Hough,Hogwarts Schoolboy,10
0,Harry Potter e a Pedra Filosofal,2001,Julianne Hough,Hogwarts Schoolgirl,10
0,Harry Potter e a Pedra Filosofal,2001,Will Howes,Hogwarts Student,10
0,Harry Potter e a Pedra Filosofal,2001,Kieri Kennedy,Child at Zoo,10
0,Harry Potter e a Pedra Filosofal,2001,Oliver Lavery-Farag,Hogwarts' Student,10
0,Harry Potter e a Pedra Filosofal,2001,Lisa Osmond,Gringotts Goblin,10
0,Harry Potter e a Pedra Filosofal,2001,Cath Peakin,Hogwarts Student,10
0,Harry Potter e a Pedra Filosofal,2001,Stefan Pejic,Student,10
0,Harry Potter e a Pedra Filosofal,2001,Jason Porter,Hogwarts Student,10
0,Harry Potter e a Pedra Filosofal,2001,Amy Puglia,Quidditch Player,10
0,Harry Potter e a Pedra Filosofal,2001,Nicholas Read,Goblin,10
0,Harry Potter e a Pedra Filosofal,2001,Richard Alan Reid,Gryffindor Prefect,10
0,Harry Potter e a Pedra Filosofal,2001,Miles Richardson,Man in Armour Portrait,10
0,Harry Potter e a Pedra Filosofal,2001,Mark Sealey,Gringotts Goblin,10
0,Harry Potter e a Pedra Filosofal,2001,Kiran Shah,Goblin,10
0,Harry Potter e a Pedra Filosofal,2001,Bianca Sowerby,Hogwarts' Student,10
0,Harry Potter e a Pedra Filosofal,2001,Dolly Thompson,Hogwarts Student,10
0,Harry Potter e a Pedra Filosofal,2001,Darren Tough,Hogwarts Schoolboy,10
0,Harry Potter e a Pedra Filosofal,2001,Bernadette Jane Vanderkar,Hogwarts Student,10
0,Harry Potter e a Pedra Filosofal,2001,Jimmy Vee,Goblin,10
1,Harry Potter e a Câmara Secreta,2002,Daniel Radcliffe,Harry Potter,10
1,Harry Potter e a Câmara Secreta,2002,Rupert Grint,Ron Weasley,10
1,Harry Potter e a Câmara Secreta,2002,Emma Watson,Hermione Granger,10
1,Harry Potter e a Câmara Secreta,2002,Richard Griffiths,Uncle Vernon Dursley,10
1,Harry Potter e a Câmara Secreta,2002,Fiona Shaw,Aunt Petunia Dursley,10
1,Harry Potter e a Câmara Secreta,2002,Harry Melling,Dudley Dursley,10
1,Harry Potter e a Câmara Secreta,2002,Toby Jones,Dobby the House Elf,10
1,Harry Potter e a Câmara Secreta,2002,Jim Norton,Mr. Mason,10
1,Harry Potter e a Câmara Secreta,2002,Veronica Clifford,Mrs. Mason,10
1,Harry Potter e a Câmara Secreta,2002,James Phelps,Fred Weasley,10
1,Harry Potter e a Câmara Secreta,2002,Oliver Phelps,George Weasley,10
1,Harry Potter e a Câmara Secreta,2002,Julie Walters,Mrs Weasley,10
1,Harry Potter e a Câmara Secreta,2002,Bonnie Wright,Ginny Weasley,10
1,Harry Potter e a Câmara Secreta,2002,Mark Williams,Arthur Weasley,10
1,Harry Potter e a Câmara Secreta,2002,Chris Rankin,Percy Weasley,10
1,Harry Potter e a Câmara Secreta,2002,Tom Felton,Draco Malfoy,10
1,Harry Potter e a Câmara Secreta,2002,Jason Isaacs,Lucius Malfoy,10
1,Harry Potter e a Câmara Secreta,2002,Edward Tudor-Pole,Mr. Borgin,10
1,Harry Potter e a Câmara Secreta,2002,Robbie Coltrane,Rubeus Hagrid,10
1,Harry Potter e a Câmara Secreta,2002,Tom Knight,Mr. Granger,10
1,Harry Potter e a Câmara Secreta,2002,Heather Bleasdale,Mrs. Granger,10
1,Harry Potter e a Câmara Secreta,2002,Kenneth Branagh,Professor Gilderoy Lockhart,10
1,Harry Potter e a Câmara Secreta,2002,Harry Taylor,Station Guard,10
1,Harry Potter e a Câmara Secreta,2002,Matthew Lewis,Neville Longbottom,10
1,Harry Potter e a Câmara Secreta,2002,Devon Murray,Seamus Finnigan,10
1,Harry Potter e a Câmara Secreta,2002,David Bradley,Argus Filch,10
1,Harry Potter e a Câmara Secreta,2002,Alan Rickman,Severus Snape,10
1,Harry Potter e a Câmara Secreta,2002,Richard Harris,Professor Albus Dumbledore,10
1,Harry Potter e a Câmara Secreta,2002,Maggie Smith,Professor Minerva McGonagall,10
1,Harry Potter e a Câmara Secreta,2002,Jamie Waylett,Vincent Crabbe,10
1,Harry Potter e a Câmara Secreta,2002,Josh Herdman,Gregory Goyle,10
1,Harry Potter e a Câmara Secreta,2002,Miriam Margolyes,Professor Pomona Sprout,10
1,Harry Potter e a Câmara Secreta,2002,Gemma Padley,Penelope Clearwater,10
1,Harry Potter e a Câmara Secreta,2002,John Cleese,Nearly Headless Nick,10
1,Harry Potter e a Câmara Secreta,2002,Hugh Mitchell,Colin Creevey,10
1,Harry Potter e a Câmara Secreta,2002,Alfred Enoch,Dean Thomas,10
