source,target,type,id,label,timeset,weight
2983,2965,Directed,1,,,
2984,2967,Directed,2,,,
2985,2969,Directed,3,,,
2986,2976,Directed,4,,,
2987,2976,Directed,5,,,
2988,2972,Directed,6,,,
2989,2972,Directed,7,,,
2989,2970,Directed,8,,,
2989,2967,Directed,9,,,
2989,2968,Directed,10,,,
2989,2965,Directed,11,,,
2990,2976,Directed,12,,,
2991,2968,Directed,13,,,
2992,2970,Directed,14,,,
2993,2972,Directed,15,,,
2994,2972,Directed,16,,,
2995,2972,Directed,17,,,
2995,2970,Directed,18,,,
2995,2978,Directed,19,,,
2995,2974,Directed,20,,,
2996,2968,Directed,21,,,
2997,2972,Directed,22,,,
2998,2972,Directed,23,,,
2999,2974,Directed,24,,,
2999,2981,Directed,25,,,
2992,2968,Directed,26,,,
3001,2976,Directed,27,,,
3002,2972,Directed,28,,,
3003,2976,Directed,29,,,
3004,2965,Directed,30,,,
3005,2972,Directed,31,,,
3006,2980,Directed,32,,,
3007,2971,Directed,33,,,
3008,2976,Directed,34,,,
3009,2972,Directed,35,,,
3010,2974,Directed,36,,,
3011,2973,Directed,37,,,
3012,2972,Directed,38,,,
3013,2972,Directed,39,,,
3014,2972,Directed,40,,,
3015,2976,Directed,41,,,
3016,2977,Directed,42,,,
3017,2972,Directed,43,,,
3018,2976,Directed,44,,,
3019,2972,Directed,45,,,
3021,2967,Directed,46,,,
3020,2976,Directed,47,,,
3022,2972,Directed,48,,,
3024,2971,Directed,49,,,
3023,2967,Directed,50,,,
3025,2980,Directed,51,,,
3026,2982,Directed,52,,,
3027,2978,Directed,53,,,
3027,2974,Directed,54,,,
3028,2977,Directed,55,,,
3029,2977,Directed,56,,,
3030,2976,Directed,57,,,
3031,2966,Directed,58,,,
3032,2971,Directed,59,,,
3033,2967,Directed,60,,,
3034,2972,Directed,61,,,
3035,2972,Directed,62,,,
3036,2977,Directed,63,,,
3037,2980,Directed,64,,,
3038,2972,Directed,65,,,
3039,2973,Directed,66,,,
3040,2971,Directed,67,,,
3041,2974,Directed,68,,,
3041,2981,Directed,69,,,
3044,2978,Directed,70,,,
3043,2978,Directed,71,,,
3043,2970,Directed,72,,,
3044,2971,Directed,73,,,
3042,2966,Directed,74,,,
3043,2966,Directed,75,,,
3044,2970,Directed,76,,,
3045,2969,Directed,77,,,
3045,2974,Directed,78,,,
3045,2981,Directed,79,,,
3045,2979,Directed,80,,,
3046,2976,Directed,81,,,
3047,2972,Directed,82,,,
3048,2972,Directed,83,,,
3049,2976,Directed,84,,,
3050,2973,Directed,85,,,
3050,2975,Directed,86,,,
3051,2972,Directed,87,,,
3052,2972,Directed,88,,,
3053,2976,Directed,89,,,
3054,2972,Directed,90,,,
3055,2979,Directed,91,,,
3056,2972,Directed,92,,,
3057,2972,Directed,93,,,
3058,2967,Directed,94,,,
3059,2967,Directed,95,,,
3059,2965,Directed,96,,,
3060,2977,Directed,97,,,
3060,2980,Directed,98,,,
3061,2982,Directed,99,,,
3062,2977,Directed,100,,,
3063,2978,Directed,101,,,
3063,2968,Directed,102,,,
3063,2970,Directed,103,,,
3063,2981,Directed,104,,,
3064,2969,Directed,105,,,
3065,2977,Directed,106,,,
3066,2975,Directed,107,,,
3067,2975,Directed,108,,,
3068,2980,Directed,109,,,
3069,2972,Directed,110,,,
3070,2976,Directed,111,,,
3071,2972,Directed,112,,,
3072,2968,Directed,113,,,
3072,2973,Directed,114,,,
3073,2979,Directed,115,,,
3074,2979,Directed,116,,,
3075,2972,Directed,117,,,
3076,2975,Directed,118,,,
3077,2980,Directed,119,,,
3078,2977,Directed,120,,,
3079,2976,Directed,121,,,
3080,2972,Directed,122,,,
3081,2977,Directed,123,,,
3082,2982,Directed,124,,,
3083,2980,Directed,125,,,
3084,2976,Directed,126,,,
3085,2969,Directed,127,,,
3086,2969,Directed,128,,,
3086,2976,Directed,129,,,
3086,2974,Directed,130,,,
3087,2976,Directed,131,,,
3088,2972,Directed,132,,,
3089,2979,Directed,133,,,
3090,2978,Directed,134,,,
3091,2976,Directed,135,,,
3092,2978,Directed,136,,,
3092,2974,Directed,137,,,
3092,2972,Directed,138,,,
3093,2976,Directed,139,,,
3094,2982,Directed,140,,,
3095,2972,Directed,141,,,
3096,2975,Directed,142,,,
3097,2966,Directed,143,,,
3098,2972,Directed,144,,,
3099,2976,Directed,145,,,
3100,2973,Directed,146,,,
3101,2977,Directed,147,,,
3102,2977,Directed,148,,,
3103,2972,Directed,149,,,
3104,2972,Directed,150,,,
