order,movie,year,actor,character
0,Homem de Ferro,2008,Robert Downey Jr.,Tony Stark
0,Homem de Ferro,2008,Terrence Howard,Rhodey
0,Homem de Ferro,2008,Jeff Bridges,Obadiah Stane
0,Homem de Ferro,2008,Gwyneth Paltrow,Pepper Potts
0,Homem de Ferro,2008,Leslie Bibb,Christine Everhart
0,Homem de Ferro,2008,Shaun Toub,Yinsen
0,Homem de Ferro,2008,Faran Tahir,Raza
0,Homem de Ferro,2008,Clark Gregg,Agent Coulson
0,Homem de Ferro,2008,Bill Smitrovich,General Gabriel
0,Homem de Ferro,2008,Sayed Badreya,Abu Bakaar
0,Homem de Ferro,2008,Paul Bettany,Jarvis
0,Homem de Ferro,2008,Jon Favreau,Hogan
0,Homem de Ferro,2008,Peter Billingsley,William Ginter Riva
0,Homem de Ferro,2008,Tim Guinee,Major Allen
0,Homem de Ferro,2008,Kevin Foster,Jimmy
0,Homem de Ferro,2008,Garret Noël,Pratt
0,Homem de Ferro,2008,Eileen Weisinger,Ramirez
0,Homem de Ferro,2008,Ahmed Ahmed,Ahmed
0,Homem de Ferro,2008,Gerard Sanders,Howard Stark
0,Homem de Ferro,2008,Stan Lee,Stan Lee
0,Homem de Ferro,2008,Samuel L. Jackson,Nick Fury
1,O Incrível Hulk,2008,Edward Norton,Bruce Banner
1,O Incrível Hulk,2008,Liv Tyler,Betty Ross
1,O Incrível Hulk,2008,Tim Roth,Emil Blonsky
1,O Incrível Hulk,2008,William Hurt,General 'Thunderbolt' Ross
1,O Incrível Hulk,2008,Tim Blake Nelson,Samuel Sterns
1,O Incrível Hulk,2008,Ty Burrell,Leonard
1,O Incrível Hulk,2008,Christina Cabot,Major Kathleen Sparr
1,O Incrível Hulk,2008,Lou Ferrigno,The Incredible Hulk
1,O Incrível Hulk,2008,Paul Soles,Stanley
1,O Incrível Hulk,2008,Martin Starr,Computer Nerd
1,O Incrível Hulk,2008,Nicholas Rose,McGee
1,O Incrível Hulk,2008,Bill Bixby,Tom Corbett
1,O Incrível Hulk,2008,Brandon Cruz,Eddie Corbett
1,O Incrível Hulk,2008,Robert Downey Jr.,Tony Stark
1,O Incrível Hulk,2008,Stan Lee,Milwaukee Man Drinking From Bottle
2,Homem de Ferro 2,2010,Robert Downey Jr.,Tony Stark
2,Homem de Ferro 2,2010,Gwyneth Paltrow,Pepper Potts
2,Homem de Ferro 2,2010,Don Cheadle,Lt. Col. James 'Rhodey' Rhodes
2,Homem de Ferro 2,2010,Scarlett Johansson,Natalie Rushman
2,Homem de Ferro 2,2010,Sam Rockwell,Justin Hammer
2,Homem de Ferro 2,2010,Mickey Rourke,Ivan Vanko
2,Homem de Ferro 2,2010,Samuel L. Jackson,Nick Fury
2,Homem de Ferro 2,2010,Clark Gregg,Agent Coulson
2,Homem de Ferro 2,2010,John Slattery,Howard Stark
2,Homem de Ferro 2,2010,Garry Shandling,Senator Stern
2,Homem de Ferro 2,2010,Paul Bettany,Jarvis
2,Homem de Ferro 2,2010,Kate Mara,U.S. Marshal
2,Homem de Ferro 2,2010,Leslie Bibb,Christine Everhart
2,Homem de Ferro 2,2010,Jon Favreau,Happy Hogan
2,Homem de Ferro 2,2010,Christiane Amanpour,Christiane Amanpour
2,Homem de Ferro 2,2010,DJ AM,Adam Goldstein
2,Homem de Ferro 2,2010,Tim Guinee,Major Allen
2,Homem de Ferro 2,2010,Evgeniy Lazarev,Anton Vanko
2,Homem de Ferro 2,2010,Stan Lee,Stan Lee
2,Homem de Ferro 2,2010,Margy Stein,Bambi Arbogast
2,Homem de Ferro 2,2010,Elon Musk,Elon Musk
2,Homem de Ferro 2,2010,Bill O'Reilly,Bill O'Reilly
2,Homem de Ferro 2,2010,Davin Ransom,Young Tony Stark
2,Homem de Ferro 2,2010,Jack White,Jack
3,Thor,2011,Chris Hemsworth,Thor
3,Thor,2011,Natalie Portman,Jane Foster
3,Thor,2011,Tom Hiddleston,Loki
3,Thor,2011,Anthony Hopkins,Odin
3,Thor,2011,Stellan Skarsgård,Erik Selvig
3,Thor,2011,Kat Dennings,Darcy Lewis
3,Thor,2011,Clark Gregg,Agent Coulson
3,Thor,2011,Colm Feore,King Laufey
3,Thor,2011,Idris Elba,Heimdall
3,Thor,2011,Ray Stevenson,Volstagg
3,Thor,2011,Tadanobu Asano,Hogun
3,Thor,2011,Josh Dallas,Fandral
3,Thor,2011,Jaimie Alexander,Sif
3,Thor,2011,Rene Russo,Frigga
3,Thor,2011,Adriana Barraza,Isabela Alvarez
3,Thor,2011,Maximiliano Hernández,Agent Sitwell
3,Thor,2011,Jamie McShane,Agent Jackson
3,Thor,2011,Stan Lee,Stan the Man
3,Thor,2011,Dakota Goyo,Young Thor
3,Thor,2011,Ted Allpress,Young Loki
3,Thor,2011,David Bantly,SHIELD Scientist
3,Thor,2011,Troy Brenna,Frost Giant
3,Thor,2011,Samuel L. Jackson,Nick Fury
3,Thor,2011,Jonaral Martin,Asgardian
3,Thor,2011,Keith Middlebrook,Agent McGuire
3,Thor,2011,Jeremy Renner,Clint Barton
3,Thor,2011,Walter Simonson,Asgardian
3,Thor,2011,Douglas Tait,Frost Giant
4,Capitão América: O Primeiro Vingador,2011,Chris Evans,Captain America
4,Capitão América: O Primeiro Vingador,2011,Hayley Atwell,Peggy Carter
4,Capitão América: O Primeiro Vingador,2011,Sebastian Stan,James Buchanan 'Bucky' Barnes
4,Capitão América: O Primeiro Vingador,2011,Tommy Lee Jones,Colonel Chester Phillips
4,Capitão América: O Primeiro Vingador,2011,Hugo Weaving,Johann Schmidt
4,Capitão América: O Primeiro Vingador,2011,Dominic Cooper,Howard Stark
4,Capitão América: O Primeiro Vingador,2011,Richard Armitage,Heinz Kruger
4,Capitão América: O Primeiro Vingador,2011,Stanley Tucci,Dr. Abraham Erskine
4,Capitão América: O Primeiro Vingador,2011,Samuel L. Jackson,Nick Fury
4,Capitão América: O Primeiro Vingador,2011,Toby Jones,Dr. Arnim Zola
4,Capitão América: O Primeiro Vingador,2011,Neal McDonough,Timothy 'Dum Dum' Dugan
4,Capitão América: O Primeiro Vingador,2011,Derek Luke,Gabe Jones
4,Capitão América: O Primeiro Vingador,2011,Kenneth Choi,Jim Morita
4,Capitão América: O Primeiro Vingador,2011,JJ Feild,James Montgomery Falsworth
4,Capitão América: O Primeiro Vingador,2011,Bruno Ricci,Jacques Dernier
4,Capitão América: O Primeiro Vingador,2011,Michael Brandon,Senator Brandt
4,Capitão América: O Primeiro Vingador,2011,Natalie Dormer,Pvt. Lorraine
4,Capitão América: O Primeiro Vingador,2011,James Payton,'Adolph Hitler'
4,Capitão América: O Primeiro Vingador,2011,Amanda Righetti,SHIELD Agent
4,Capitão América: O Primeiro Vingador,2011,Jack Conway,SHIELD Agent
4,Capitão América: O Primeiro Vingador,2011,Eddie Davenport,HYDRA Soldier
