id,label,timeset,morder,myear,mcost,mgross,mprofit,mtomatometer,maudience,aname,atwitter,afacebook,type
568,Iron Man,,0,2008,140000000,585174222,445174222,94,91,Iron Man,0,0,movie
569,The Incredible Hulk,,1,2008,150000000,263427551,113427551,67,71,The Incredible Hulk,0,0,movie
570,Iron Man 2,,2,2010,200000000,623933331,423933331,72,72,Iron Man 2,0,0,movie
571,Thor,,3,2011,150000000,449326618,299326618,77,76,Thor,0,0,movie
572,Captain America: The First Avenger,,4,2011,140000000,370569774,230569774,79,74,Captain America: The First Avenger,0,0,movie
573,The Avengers,,5,2012,220000000,1519557910,1299557910,92,91,The Avengers,0,0,movie
574,Iron Man Three,,6,2013,200000000,1215439994,1015439994,79,79,Iron Man Three,0,0,movie
575,Agents of S.H.I.E.L.D.,,7,2013,0,0,0,93,0,Agents of S.H.I.E.L.D.,0,0,tvshow
576,Thor: The Dark World,,8,2013,170000000,644602516,474602516,66,78,Thor: The Dark World,0,0,movie
577,Captain America: The Winter Soldier,,9,2014,170000000,714421503,544421503,89,92,Captain America: The Winter Soldier,0,0,movie
578,Guardians of the Galaxy,,10,2014,170000000,773312399,603312399,91,92,Guardians of the Galaxy,0,0,movie
579,Agent Carter,,11,2015,0,0,0,87,0,Agent Carter,0,0,tvshow
580,Daredevil,,12,2015,0,0,0,86,0,Daredevil,0,0,tvshow
581,Avengers: Age of Ultron,,13,2015,250000000,1405413868,1155413868,75,84,Avengers: Age of Ultron,0,0,movie
582,Ant-Man,,14,2015,130000000,519445163,389445163,80,87,Ant-Man,0,0,movie
583,Jessica Jones,,15,2015,0,0,0,93,0,Jessica Jones,0,0,tvshow
584,Captain America: Civil War,,16,2016,0,0,0,97,99,Captain America: Civil War,0,0,movie
585,Doctor Strange,,17,2016,0,0,0,0,99,Doctor Strange,0,0,movie
586,?,,17,2016,0,0,0,0,0,Amy Landecker,0,0,actor
587,?,,17,2016,0,0,0,0,0,Scott Adkins,0,0,actor
588,Abu Bakaar,,0,2008,0,0,0,0,0,Sayed Badreya,0,0,actor
589,Agent Coulson,,0,2008,0,0,0,0,0,Clark Gregg,0,0,actor
590,Agent Maria Hill,,5,2012,0,0,0,0,0,Cobie Smulders,0,0,actor
591,Agent Sharon Carter,,9,2014,0,0,0,0,0,Emily VanCamp,0,0,actor
592,Aldrich Killian,,6,2013,0,0,0,0,0,Guy Pearce,0,0,actor
593,Alexander Pierce,,9,2014,0,0,0,0,0,Robert Redford,0,0,actor
594,Algrim / Kurse,,8,2013,0,0,0,0,0,Adewale Akinnuoye-Agbaje,0,0,actor
595,Alphonso 'Mack' Mackenzie,,7,2013,0,0,0,0,0,Henry Simmons,0,0,actor
596,Award Ceremony Narrator (voice),,0,2008,0,0,0,0,0,Will Lyman,0,0,actor
597,Baron Mordo,,17,2016,0,0,0,0,0,Chiwetel Ejiofor,0,0,actor
598,Ben Urich,,12,2015,0,0,0,0,0,Vondie Curtis-Hall,0,0,actor
599,Betty Ross,,1,2008,0,0,0,0,0,Liv Tyler,0,0,actor
600,Bobbi Morse,,7,2013,0,0,0,0,0,Adrianne Palicki,0,0,actor
601,Brandt,,6,2013,0,0,0,0,0,Stephanie Szostak,0,0,actor
602,Brock Rumlow / Crossbones,,9,2014,0,0,0,0,0,Frank Grillo,0,0,actor
603,Bruce Banner / Hulk,,1,2008,0,0,0,0,0,Edward Norton,0,0,actor
604,Bruce Banner / Hulk,,1,2008,0,0,0,0,0,Lou Ferrigno,0,0,actor
605,Bruce Banner / Hulk,,5,2012,0,0,0,0,0,Mark Ruffalo,0,0,actor
606,Bucky Barnes / Winter Soldier,,4,2011,0,0,0,0,0,Sebastian Stan,0,0,actor
607,Cassie Lang,,14,2015,0,0,0,0,0,Abby Ryder Fortson,0,0,actor
608,Christiane Amanpour,,2,2010,0,0,0,0,0,Christiane Amanpour,0,0,actor
609,Christine Everhart,,0,2008,0,0,0,0,0,Leslie Bibb,0,0,actor
610,Claire Temple,,12,2015,0,0,0,0,0,Rosario Dawson,0,0,actor
611,Clea?,,17,2016,0,0,0,0,0,Rachel McAdams,0,0,actor
612,Clint Barton / Hawkeye,,5,2012,0,0,0,0,0,Jeremy Renner,0,0,actor
613,Colonel Chester Phillips,,4,2011,0,0,0,0,0,Tommy Lee Jones,0,0,actor
614,Corpsman Dey,,10,2014,0,0,0,0,0,John C. Reilly,0,0,actor
615,Councilwoman Hawley,,9,2014,0,0,0,0,0,Jenny Agutter,0,0,actor
616,Daisy 'Skye' Johnson,,7,2013,0,0,0,0,0,Chloe Bennet,0,0,actor
617,Daniel Sousa,,11,2015,0,0,0,0,0,Enver Gjokaj,0,0,actor
618,Darcy Lewis,,3,2011,0,0,0,0,0,Kat Dennings,0,0,actor
619,Darren Cross / Yellowjacket,,14,2015,0,0,0,0,0,Corey Stoll,0,0,actor
620,Dave,,14,2015,0,0,0,0,0,T.I.,0,0,actor
621,Denarian Saal,,10,2014,0,0,0,0,0,Peter Serafinowicz,0,0,actor
622,Doctor Wu (as Wang Xueqi),,6,2013,0,0,0,0,0,Xueqi Wang,0,0,actor
623,Dormammu?,,17,2016,0,0,0,0,0,Mads Mikkelsen,0,0,actor
624,Dottie Underwood,,11,2015,0,0,0,0,0,Bridget Regan,0,0,actor
625,Dr. Abraham Erskine,,4,2011,0,0,0,0,0,Stanley Tucci,0,0,actor
626,Dr. Arnim Zola,,4,2011,0,0,0,0,0,Toby Jones,0,0,actor
627,Dr. Hank Pym,,14,2015,0,0,0,0,0,Michael Douglas,0,0,actor
628,Dr. Stephen Strange,,17,2016,0,0,0,0,0,Benedict Cumberbatch,0,0,actor
629,Drax,,10,2014,0,0,0,0,0,Dave Bautista,0,0,actor
630,Edwin Jarvis,,11,2015,0,0,0,0,0,James D'Arcy,0,0,actor
631,Eir,,8,2013,0,0,0,0,0,Alice Krige,0,0,actor
632,Elektra Natchios,,12,2015,0,0,0,0,0,Elodie Yung,0,0,actor
633,Emil Blonsky,,1,2008,0,0,0,0,0,Tim Roth,0,0,actor
634,Erik Selvig,,3,2011,0,0,0,0,0,Stellan Skarsgard,0,0,actor
635,Everett K. Ross,,16,2016,0,0,0,0,0,Martin Freeman,0,0,actor
636,Fandral,,3,2011,0,0,0,0,0,Josh Dallas,0,0,actor
637,Fandral,,8,2013,0,0,0,0,0,Zachary Levi,0,0,actor
638,Foggy Nelson,,12,2015,0,0,0,0,0,Elden Henson,0,0,actor
639,Frank Castle,,12,2015,0,0,0,0,0,Jon Bernthal,0,0,actor
640,Frigga,,3,2011,0,0,0,0,0,Rene Russo,0,0,actor
641,Gabe Jones,,4,2011,0,0,0,0,0,Derek Luke,0,0,actor
642,Gale,,14,2015,0,0,0,0,0,Wood Harris,0,0,actor
643,Gamora,,10,2014,0,0,0,0,0,Zoe Saldana,0,0,actor
644,General Gabriel,,0,2008,0,0,0,0,0,Bill Smitrovich,0,0,actor
645,General Joe Greller,,1,2008,0,0,0,0,0,Peter Mensah,0,0,actor
646,Girl on the Bus,,17,2016,0,0,0,0,0,Juani Feliz,0,0,actor
647,Grant Ward,,7,2013,0,0,0,0,0,Brett Dalton,0,0,actor
648,Groot,,10,2014,0,0,0,0,0,Vin Diesel,0,0,actor
649,Happy Hogan,,0,2008,0,0,0,0,0,Jon Favreau,0,0,actor
650,Harley Keener,,6,2013,0,0,0,0,0,Ty Simpkins,0,0,actor
651,Heimdall,,3,2011,0,0,0,0,0,Idris Elba,0,0,actor
652,Heinz Kruger,,4,2011,0,0,0,0,0,Richard Armitage,0,0,actor
653,Hogun,,3,2011,0,0,0,0,0,Tadanobu Asano,0,0,actor
654,Hope van Dyne / Vasp?,,14,2015,0,0,0,0,0,Evangeline Lilly,0,0,actor
655,Hospital Visitor,,17,2016,0,0,0,0,0,Daniel Eghan,0,0,actor
656,Howard Stark,,4,2011,0,0,0,0,0,Dominic Cooper,0,0,actor
657,Howard Stark,,2,2010,0,0,0,0,0,John Slattery,0,0,actor
658,Isabela Alvarez,,3,2011,0,0,0,0,0,Adriana Barraza,0,0,actor
659,Ivan Vanko,,2,2010,0,0,0,0,0,Mickey Rourke,0,0,actor
660,Jack Rollins,,9,2014,0,0,0,0,0,Callan Mulvey,0,0,actor
661,Jack Thompson,,11,2015,0,0,0,0,0,Chad Michael Murray,0,0,actor
662,Jacques Dernier,,4,2011,0,0,0,0,0,Bruno Ricci,0,0,actor
663,James Montgomery Falsworth,,4,2011,0,0,0,0,0,JJ Feild,0,0,actor
664,James Rhodes / War Machine,,2,2010,0,0,0,0,0,Don Cheadle,0,0,actor
665,James Rhodes / War Machine,,0,2008,0,0,0,0,0,Terrence Howard,0,0,actor
666,Jane Foster,,3,2011,0,0,0,0,0,Natalie Portman,0,0,actor
667,Jarvis / Vision,,0,2008,0,0,0,0,0,Paul Bettany,0,0,actor
668,Jason Wilkes,,11,2015,0,0,0,0,0,Reggie Austin,0,0,actor
669,Jasper Sitwell,,9,2014,0,0,0,0,0,Maximiliano Hernandez,0,0,actor
670,Jemma Simmons,,7,2013,0,0,0,0,0,Elizabeth Henstridge,0,0,actor
671,Jeri Hogarth,,15,2015,0,0,0,0,0,Carrie-Anne Moss,0,0,actor
672,Jessica Jones,,15,2015,0,0,0,0,0,Krysten Ritter,0,0,actor
673,Jim Morita,,4,2011,0,0,0,0,0,Kenneth Choi,0,0,actor
674,Johann Schmidt / Red Skull,,4,2011,0,0,0,0,0,Hugo Weaving,0,0,actor
675,Justin Hammer,,2,2010,0,0,0,0,0,Sam Rockwell,0,0,actor
676,Karen Page,,12,2015,0,0,0,0,0,Deborah Ann Woll,0,0,actor
677,Kilgrave,,15,2015,0,0,0,0,0,David Tennant,0,0,actor
678,King Laufey,,3,2011,0,0,0,0,0,Colm Feore,0,0,actor
679,King T'Chaka,,16,2016,0,0,0,0,0,John Kani,0,0,actor
680,Korath,,10,2014,0,0,0,0,0,Djimon Hounsou,0,0,actor
681,Kurt,,14,2015,0,0,0,0,0,David Dastmalchian,0,0,actor
682,Lance Hunter,,7,2013,0,0,0,0,0,Nick Blood,0,0,actor
683,Leo Fitz,,7,2013,0,0,0,0,0,Iain De Caestecker,0,0,actor
684,Leonard,,1,2008,0,0,0,0,0,Ty Burrell,0,0,actor
685,Lincoln Campbell,,7,2013,0,0,0,0,0,Luke Mitchell,0,0,actor
686,Loki,,3,2011,0,0,0,0,0,Tom Hiddleston,0,0,actor
687,Luis,,14,2015,0,0,0,0,0,Michael Pena,0,0,actor
