id,label,timeset,morder,myear,mcost,mgross,mprofit,mtomatometer,maudience,aname,atwitter,afacebook,type
2965,Iron Man,,0,2008,140000000,585174222,445174222,94,91,Homem de Ferro,0,0,movie
2966,The Incredible Hulk,,1,2008,150000000,263427551,113427551,67,71,O Incrível Hulk,0,0,movie
2967,Iron Man 2,,2,2010,200000000,623933331,423933331,72,72,Homem de Ferro 2,0,0,movie
2968,Thor,,3,2011,150000000,449326618,299326618,77,76,Thor,0,0,movie
2969,Captain America: The First Avenger,,4,2011,140000000,370569774,230569774,79,74,Capitão América: O Primeiro Vingador,0,0,movie
2970,The Avengers,,5,2012,220000000,1519557910,1299557910,92,91,The Avengers: Os Vingadores,0,0,movie
2971,Iron Man Three,,6,2013,200000000,1215439994,1015439994,79,79,Homem de Ferro 3,0,0,movie
2972,Agents of S.H.I.E.L.D.,,7,2013,0,0,0,93,0,Agentes da S.H.I.E.L.D.,0,0,tvshow
2973,Thor: The Dark World,,8,2013,170000000,644602516,474602516,66,78,Thor: O Mundo Sombrio,0,0,movie
2974,Captain America: The Winter Soldier,,9,2014,170000000,714421503,544421503,89,92,Capitão América: O Soldado Invernal,0,0,movie
2975,Guardians of the Galaxy,,10,2014,170000000,773312399,603312399,91,92,Guardiões da Galáxia,0,0,movie
2976,Agent Carter,,11,2015,0,0,0,87,0,Agente Carter,0,0,tvshow
2977,Daredevil,,12,2015,0,0,0,86,0,Demolidor,0,0,tvshow
2978,Avengers: Age of Ultron,,13,2015,250000000,1405413868,1155413868,75,84,Vingadores: Era de Ultron,0,0,movie
2979,Ant-Man,,14,2015,130000000,519445163,389445163,80,87,Homem-Formiga,0,0,movie
2980,Jessica Jones,,15,2015,0,0,0,93,0,Jessica Jones,0,0,tvshow
2981,Captain America: Civil War,,16,2016,0,0,0,97,99,Capitão América: Guerra Civil,0,0,movie
2982,Doctor Strange,,17,2016,0,0,0,0,99,Doutor Estranho,0,0,movie
2983,Abu Bakaar,,0,2008,0,0,0,0,0,Sayed Badreya,0,0,actor
2984,Adam Goldstein,,2,2010,0,0,0,0,0,DJ AM,0,0,actor
2985,Adolph Hitler,,4,2011,0,0,0,0,0,James Payton,0,0,actor
2986,Agent Blackwell,,11,2015,0,0,0,0,0,Russell Edge,0,0,actor
2987,Agent Butch Wallace,,11,2015,0,0,0,0,0,Patrick Robert Smith,0,0,actor
2988,Agent Calderon,,7,2013,0,0,0,0,0,Kirk Acevedo,0,0,actor
2989,Agent Coulson,,0,2008,0,0,0,0,0,Clark Gregg,0,0,actor
2990,Agent Fisher,,11,2015,0,0,0,0,0,Kevin Ashworth,0,0,actor
2991,Agent Jackson,,3,2011,0,0,0,0,0,Jamie McShane,0,0,actor
2992,Agent Jasper Sitwell,,3,2011,0,0,0,0,0,Maximiliano Hernández,0,0,actor
2993,Agent Kaminsky,,7,2013,0,0,0,0,0,Jeffrey Muller,0,0,actor
2994,Agent Kwan,,7,2013,0,0,0,0,0,Tzi Ma,0,0,actor
2995,Agent Maria Hill,,5,2012,0,0,0,0,0,Cobie Smulders,0,0,actor
2996,Agent McGuire,,3,2011,0,0,0,0,0,Keith Middlebrook,0,0,actor
2997,Agent Noelle Walters,,7,2013,0,0,0,0,0,Melanie Cruz,0,0,actor
2998,Agent Oliver,,7,2013,0,0,0,0,0,Mark Allan Stewart,0,0,actor
2999,Agent Sharon Carter,,9,2014,0,0,0,0,0,Emily VanCamp,0,0,actor
3000,Agent Sitwell,,3,2011,0,0,0,0,0,Maximiliano Hernández,0,0,actor
3001,Agent Vega,,11,2015,0,0,0,0,0,Rey Valentin,0,0,actor
3002,Agent Weaver,,7,2013,0,0,0,0,0,Christine Adams,0,0,actor
3003,Agent Yauch,,11,2015,0,0,0,0,0,Alexander Carroll,0,0,actor
