id,label,timeset,count,local
p3910d2b457ca426ef1828a300433f798,foradilma,,20,paulista
pddf652bef14de0889f7170f427b0143c,forapt,,19,paulista
p87edc5f4e623f2e661a8986befe00adb,impeachment,,14,paulista
pef754f06976cbc49d1ac15768a93ea25,lulanacadeia,,12,paulista
p168cfe515d921da6cb606aa9344fc5dd,foralula,,10,paulista
p6a4120be23c814f80233ecbb34e71adc,brasil,,9,paulista
pfc9fdf084e290f26a270390dc49061a2,pt,,9,paulista
pbed43a71ac6166c588271a60623434c8,mudabrasil,,7,paulista
p878403fd513518733c25f129cb123342,vemprarua,,7,paulista
pe24da7dedab6950d4359be2a2e8872d9,nãovaitergolpe,,7,paulista
pb290756848ba5255bf06bbfc80f1c095,tchauquerida,,6,paulista
pd88a4d2b4799bcd2ccdb2d2e2929f09d,lula,,5,paulista
pc1c3499263ffd0332275268be4eb8135,juizmoro,,5,paulista
pd3d159149dca6723ade388a5f97f5c7b,vaiterimpeachment,,5,paulista
pb6f481891147c001f0c212ec1a50a915,prafrentebrasil,,4,paulista
p4ac0be71b877b8687ac748f1016a9cd7,chega,,4,paulista
p4669371b0e90341d9be6cb07517b84c2,lulacomunista,,4,paulista
p50522bf6625170095d58e02ec86964ad,lulapreso,,4,paulista
p383c60b735a7ab77aa27e763d1f1563f,ptnaomerepresenta,,4,paulista
p6d5d192e712c8af7bc658a0599a6ef62,dilmarenuncia,,4,paulista
pe4b853da0eed2581c14b0b2ae4e0973f,chegadecorruptos,,4,paulista
p9058934c1cd94e802c0c33b1f4df9fd4,facista,,4,paulista
pe2f83acc3846317b4e4f2da9b8b74e32,porumbrasilmelhor,,4,paulista
p463e46f4762ad03cb4106834c19c6092,unidosbr,,4,paulista
pc6d694eb32d336b78c9a6d22373450fd,chegadecorrupcao,,4,paulista
p6e8a5d8530cb96e89b322cf7fcd03d93,comunista,,4,paulista
pb5db3cc74cb951925103562eb054cbe3,basta,,4,paulista
p28b48cb47e5c844e569976c3e2aef92e,acabou,,4,paulista
p0fd2be017da7a895482745f3920705e2,foracorruptos,,4,paulista
pb489265b03b78912cf6564ff0ebc65f8,naovotonopt,,4,paulista
pbc5dfb1707ab5684294918ac0b06a0c7,nuncavoteinopt,,4,paulista
pc51ce410c124a10e0db5e4b97fc2af39,13,,4,paulista
pda5a90aa92fbbf4d9657de9f1e748b55,impeachmentdadilma,,4,paulista
pf278800a87c2a9459f3de2bef927ab18,direitadaopressão,,4,paulista
p84ddfb34126fc3a48ee38d7044e87276,2018,,4,paulista
p267aa771820d9d98b41ffde8538711f0,lavajato,,4,paulista
p80c9400970ba4b32491698adbc43d291,impeachmentjá,,3,paulista
p5372435d4ab045eec8fb12776c7bd5f8,psdb,,3,paulista
pa62eb1b8d8da04b345a4f0a15b6966f8,bolsonaro,,3,paulista
p865f347eeb255a3b19d7a5f8e78f0a09,dilmafica,,3,paulista
p6ea9bf4d9118dc8c89f837657ae50843,acordabrasil,,3,paulista
p12384cab830970fa3920bd1bcde28888,petrolao,,3,paulista
pabb8edd5d47840eaa6c73e35e90669ef,mapadoimpeachment,,3,paulista
p6936750ad3069ee07669007ec642f910,ogiganteacordou,,3,paulista
p24e0e886083f92885b5ac709d449280a,dilma,,3,paulista
p0cd645a767336874441920674d3b51a4,forodesaopaulo,,3,paulista
pc44167614d782b4e9483ad43a95cf1f6,foracunha,,3,paulista
pb30187ae8ae5b47c4cf018786f68450f,partidodostrabalhadores,,3,paulista
p20306316798958c64b5332c09b9e1385,corruptos,,3,paulista
pc5bdf5be4c8d9f087c1086e26299b309,táfodaserbrasileiro,,3,paulista
p987a3a73debdee9ab20abaa0f901167c,coraçaovalente,,3,paulista
p84b3694ce6a684f4020bef4bdf0eef6e,naovaitergolpe,,3,paulista
p15703942da3f374a541eb91f147d1eb7,mudamais,,3,paulista
p480f73476e9d6bf23856b04469385cbe,corrupção,,3,paulista
p6ab07c428dbb81db779f9f9c3ce84d55,policiafederal,,2,paulista
pfd4869bb837bb9e64e79a85467112808,todosjuntoscontraopt,,2,paulista
p1868b98e991ba0bab361d6be1b7c0e68,juizsergiomoro,,2,paulista
pe6d91396b30a34b229d4774f4a19beb5,bolsonaro2018,,2,paulista
p6a16640941712c2580c9da9751f0bdd6,somostodosmoro,,2,paulista
pc12e7eb6dc5eea8da4a2b0a45bb14e33,repost,,2,paulista
p35d7a1f03019251c2e846698fc42033a,dima13,,2,paulista
p04f9f3cc7afe95d0769b27355898f7b8,cnnireport,,1,paulista
p3c3053379c8442626405dd883aec9336,corrupçãonão,,1,paulista
p8fd4fbe6e3683a7dbcf5aef73e7f50b4,brasiljusto,,1,paulista
p542fa30eedf5317fd86d098557d6d81a,vivaalavajato,,1,paulista
pdd07de8561395a7c37f8fcc1752d45e1,pe,,1,paulista
pfcbbce23b38e9abb7bcf0a01aa6bf5d2,criminosa,,1,paulista
p710998fd1b7c0235170265650770a4b1,mt,,1,paulista
pce650d23e6a5ebf14c90a7e54fa2d114,guerrilheira,,1,paulista
