Source,Target,Type,id,label,timeset,weight
a1c040db3667adcbad2aec4918dbcfda4,a84b3694ce6a684f4020bef4bdf0eef6e,Undirected,0,,,1.0
aa6b9972cbf3d1db748b411fff4fae639,a84b3694ce6a684f4020bef4bdf0eef6e,Undirected,1,,,1.0
a7356d2887ec10bee2670e9e01cc740a9,a84b3694ce6a684f4020bef4bdf0eef6e,Undirected,2,,,1.0
afe0ee9e67903a1f2df936232f26aa0c4,a84b3694ce6a684f4020bef4bdf0eef6e,Undirected,3,,,1.0
a865f347eeb255a3b19d7a5f8e78f0a09,a84b3694ce6a684f4020bef4bdf0eef6e,Undirected,4,,,7.0
aa6b9972cbf3d1db748b411fff4fae639,a1c040db3667adcbad2aec4918dbcfda4,Undirected,5,,,1.0
a7356d2887ec10bee2670e9e01cc740a9,a1c040db3667adcbad2aec4918dbcfda4,Undirected,6,,,1.0
afe0ee9e67903a1f2df936232f26aa0c4,a1c040db3667adcbad2aec4918dbcfda4,Undirected,7,,,1.0
a865f347eeb255a3b19d7a5f8e78f0a09,a1c040db3667adcbad2aec4918dbcfda4,Undirected,8,,,1.0
a7356d2887ec10bee2670e9e01cc740a9,aa6b9972cbf3d1db748b411fff4fae639,Undirected,9,,,1.0
aa6b9972cbf3d1db748b411fff4fae639,afe0ee9e67903a1f2df936232f26aa0c4,Undirected,10,,,1.0
aa6b9972cbf3d1db748b411fff4fae639,a865f347eeb255a3b19d7a5f8e78f0a09,Undirected,11,,,1.0
a7356d2887ec10bee2670e9e01cc740a9,afe0ee9e67903a1f2df936232f26aa0c4,Undirected,12,,,1.0
a7356d2887ec10bee2670e9e01cc740a9,a865f347eeb255a3b19d7a5f8e78f0a09,Undirected,13,,,1.0
a865f347eeb255a3b19d7a5f8e78f0a09,afe0ee9e67903a1f2df936232f26aa0c4,Undirected,14,,,1.0
a84b3694ce6a684f4020bef4bdf0eef6e,acde1755840f86232f11033fb84278a48,Undirected,15,,,1.0
a6aaa2a1114b8bb05e7420381940aa2d7,a6bd130920ba942cc87271f3ac69def33,Undirected,16,,,1.0
