Source,Target,Type,id,label,timeset,weight
p168cfe515d921da6cb606aa9344fc5dd,p80c9400970ba4b32491698adbc43d291,Undirected,0,,,1.0
p168cfe515d921da6cb606aa9344fc5dd,p47b089318da16aeea68da92e0c7150f8,Undirected,1,,,1.0
pa31db20da4c102492c894e7cf7095060,p168cfe515d921da6cb606aa9344fc5dd,Undirected,2,,,1.0
p168cfe515d921da6cb606aa9344fc5dd,pddf652bef14de0889f7170f427b0143c,Undirected,3,,,10.0
p3910d2b457ca426ef1828a300433f798,p168cfe515d921da6cb606aa9344fc5dd,Undirected,4,,,10.0
p47b089318da16aeea68da92e0c7150f8,p80c9400970ba4b32491698adbc43d291,Undirected,5,,,1.0
pa31db20da4c102492c894e7cf7095060,p80c9400970ba4b32491698adbc43d291,Undirected,6,,,1.0
pddf652bef14de0889f7170f427b0143c,p80c9400970ba4b32491698adbc43d291,Undirected,7,,,2.0
p3910d2b457ca426ef1828a300433f798,p80c9400970ba4b32491698adbc43d291,Undirected,8,,,3.0
pa31db20da4c102492c894e7cf7095060,p47b089318da16aeea68da92e0c7150f8,Undirected,9,,,1.0
p47b089318da16aeea68da92e0c7150f8,pddf652bef14de0889f7170f427b0143c,Undirected,10,,,1.0
p3910d2b457ca426ef1828a300433f798,p47b089318da16aeea68da92e0c7150f8,Undirected,11,,,1.0
pa31db20da4c102492c894e7cf7095060,pddf652bef14de0889f7170f427b0143c,Undirected,12,,,1.0
p3910d2b457ca426ef1828a300433f798,pa31db20da4c102492c894e7cf7095060,Undirected,13,,,1.0
p3910d2b457ca426ef1828a300433f798,pddf652bef14de0889f7170f427b0143c,Undirected,14,,,19.0
pcde5a88476fbeb7a056fa3efd2f2f1b2,pef754f06976cbc49d1ac15768a93ea25,Undirected,15,,,1.0
pef754f06976cbc49d1ac15768a93ea25,pfb49059ee1e85078ccca7999fedbb118,Undirected,16,,,1.0
p1aa32be46ff234a24b44deed8b347f0f,pef754f06976cbc49d1ac15768a93ea25,Undirected,17,,,1.0
p3910d2b457ca426ef1828a300433f798,pef754f06976cbc49d1ac15768a93ea25,Undirected,18,,,12.0
p841d3ffb72c56ad5c2f973a71f6eb5fd,pef754f06976cbc49d1ac15768a93ea25,Undirected,19,,,1.0
pe6d91396b30a34b229d4774f4a19beb5,pef754f06976cbc49d1ac15768a93ea25,Undirected,20,,,1.0
pddf652bef14de0889f7170f427b0143c,pef754f06976cbc49d1ac15768a93ea25,Undirected,21,,,11.0
pcde5a88476fbeb7a056fa3efd2f2f1b2,pfb49059ee1e85078ccca7999fedbb118,Undirected,22,,,1.0
p1aa32be46ff234a24b44deed8b347f0f,pcde5a88476fbeb7a056fa3efd2f2f1b2,Undirected,23,,,1.0
pcde5a88476fbeb7a056fa3efd2f2f1b2,p3910d2b457ca426ef1828a300433f798,Undirected,24,,,1.0
p841d3ffb72c56ad5c2f973a71f6eb5fd,pcde5a88476fbeb7a056fa3efd2f2f1b2,Undirected,25,,,1.0
pe6d91396b30a34b229d4774f4a19beb5,pcde5a88476fbeb7a056fa3efd2f2f1b2,Undirected,26,,,1.0
pcde5a88476fbeb7a056fa3efd2f2f1b2,pddf652bef14de0889f7170f427b0143c,Undirected,27,,,1.0
p1aa32be46ff234a24b44deed8b347f0f,pfb49059ee1e85078ccca7999fedbb118,Undirected,28,,,1.0
p3910d2b457ca426ef1828a300433f798,pfb49059ee1e85078ccca7999fedbb118,Undirected,29,,,1.0
p841d3ffb72c56ad5c2f973a71f6eb5fd,pfb49059ee1e85078ccca7999fedbb118,Undirected,30,,,1.0
pe6d91396b30a34b229d4774f4a19beb5,pfb49059ee1e85078ccca7999fedbb118,Undirected,31,,,1.0
pddf652bef14de0889f7170f427b0143c,pfb49059ee1e85078ccca7999fedbb118,Undirected,32,,,1.0
p1aa32be46ff234a24b44deed8b347f0f,p3910d2b457ca426ef1828a300433f798,Undirected,33,,,1.0
p841d3ffb72c56ad5c2f973a71f6eb5fd,p1aa32be46ff234a24b44deed8b347f0f,Undirected,34,,,1.0
pe6d91396b30a34b229d4774f4a19beb5,p1aa32be46ff234a24b44deed8b347f0f,Undirected,35,,,1.0
p1aa32be46ff234a24b44deed8b347f0f,pddf652bef14de0889f7170f427b0143c,Undirected,36,,,1.0
p841d3ffb72c56ad5c2f973a71f6eb5fd,p3910d2b457ca426ef1828a300433f798,Undirected,37,,,1.0
pe6d91396b30a34b229d4774f4a19beb5,p3910d2b457ca426ef1828a300433f798,Undirected,38,,,2.0
pe6d91396b30a34b229d4774f4a19beb5,p841d3ffb72c56ad5c2f973a71f6eb5fd,Undirected,39,,,1.0
p841d3ffb72c56ad5c2f973a71f6eb5fd,pddf652bef14de0889f7170f427b0143c,Undirected,40,,,1.0
pe6d91396b30a34b229d4774f4a19beb5,pddf652bef14de0889f7170f427b0143c,Undirected,41,,,2.0
p6a4120be23c814f80233ecbb34e71adc,pd3d159149dca6723ade388a5f97f5c7b,Undirected,42,,,5.0
p6a4120be23c814f80233ecbb34e71adc,pef754f06976cbc49d1ac15768a93ea25,Undirected,43,,,9.0
p6a4120be23c814f80233ecbb34e71adc,pf278800a87c2a9459f3de2bef927ab18,Undirected,44,,,4.0
p6a4120be23c814f80233ecbb34e71adc,pe24da7dedab6950d4359be2a2e8872d9,Undirected,45,,,4.0
p6a4120be23c814f80233ecbb34e71adc,p87edc5f4e623f2e661a8986befe00adb,Undirected,46,,,9.0
p6a4120be23c814f80233ecbb34e71adc,p3910d2b457ca426ef1828a300433f798,Undirected,47,,,9.0
pba0fffcd50cb951f0c9db1cc72ca782e,p6a4120be23c814f80233ecbb34e71adc,Undirected,48,,,1.0
p6a4120be23c814f80233ecbb34e71adc,pddf652bef14de0889f7170f427b0143c,Undirected,49,,,9.0
p84ddfb34126fc3a48ee38d7044e87276,p6a4120be23c814f80233ecbb34e71adc,Undirected,50,,,4.0
pef754f06976cbc49d1ac15768a93ea25,pd3d159149dca6723ade388a5f97f5c7b,Undirected,51,,,5.0
pf278800a87c2a9459f3de2bef927ab18,pd3d159149dca6723ade388a5f97f5c7b,Undirected,52,,,4.0
pe24da7dedab6950d4359be2a2e8872d9,pd3d159149dca6723ade388a5f97f5c7b,Undirected,53,,,4.0
p87edc5f4e623f2e661a8986befe00adb,pd3d159149dca6723ade388a5f97f5c7b,Undirected,54,,,5.0
p3910d2b457ca426ef1828a300433f798,pd3d159149dca6723ade388a5f97f5c7b,Undirected,55,,,5.0
pba0fffcd50cb951f0c9db1cc72ca782e,pd3d159149dca6723ade388a5f97f5c7b,Undirected,56,,,1.0
pddf652bef14de0889f7170f427b0143c,pd3d159149dca6723ade388a5f97f5c7b,Undirected,57,,,5.0
p84ddfb34126fc3a48ee38d7044e87276,pd3d159149dca6723ade388a5f97f5c7b,Undirected,58,,,4.0
pf278800a87c2a9459f3de2bef927ab18,pef754f06976cbc49d1ac15768a93ea25,Undirected,59,,,4.0
pef754f06976cbc49d1ac15768a93ea25,pe24da7dedab6950d4359be2a2e8872d9,Undirected,60,,,4.0
p87edc5f4e623f2e661a8986befe00adb,pef754f06976cbc49d1ac15768a93ea25,Undirected,61,,,10.0
pba0fffcd50cb951f0c9db1cc72ca782e,pef754f06976cbc49d1ac15768a93ea25,Undirected,62,,,1.0
p84ddfb34126fc3a48ee38d7044e87276,pef754f06976cbc49d1ac15768a93ea25,Undirected,63,,,4.0
pf278800a87c2a9459f3de2bef927ab18,pe24da7dedab6950d4359be2a2e8872d9,Undirected,64,,,4.0
pf278800a87c2a9459f3de2bef927ab18,p87edc5f4e623f2e661a8986befe00adb,Undirected,65,,,4.0
pf278800a87c2a9459f3de2bef927ab18,p3910d2b457ca426ef1828a300433f798,Undirected,66,,,4.0
pba0fffcd50cb951f0c9db1cc72ca782e,pf278800a87c2a9459f3de2bef927ab18,Undirected,67,,,1.0
pf278800a87c2a9459f3de2bef927ab18,pddf652bef14de0889f7170f427b0143c,Undirected,68,,,4.0
p84ddfb34126fc3a48ee38d7044e87276,pf278800a87c2a9459f3de2bef927ab18,Undirected,69,,,4.0
p87edc5f4e623f2e661a8986befe00adb,pe24da7dedab6950d4359be2a2e8872d9,Undirected,70,,,7.0
p3910d2b457ca426ef1828a300433f798,pe24da7dedab6950d4359be2a2e8872d9,Undirected,71,,,7.0
pba0fffcd50cb951f0c9db1cc72ca782e,pe24da7dedab6950d4359be2a2e8872d9,Undirected,72,,,1.0
pddf652bef14de0889f7170f427b0143c,pe24da7dedab6950d4359be2a2e8872d9,Undirected,73,,,7.0
p84ddfb34126fc3a48ee38d7044e87276,pe24da7dedab6950d4359be2a2e8872d9,Undirected,74,,,4.0
p3910d2b457ca426ef1828a300433f798,p87edc5f4e623f2e661a8986befe00adb,Undirected,75,,,14.0
pba0fffcd50cb951f0c9db1cc72ca782e,p87edc5f4e623f2e661a8986befe00adb,Undirected,76,,,1.0
pddf652bef14de0889f7170f427b0143c,p87edc5f4e623f2e661a8986befe00adb,Undirected,77,,,14.0
