order,movie,year,actor,character
0,Iron Man,2008,Robert Downey Jr.,Tony Stark / Iron Man
0,Iron Man,2008,Terrence Howard,Rhodey
0,Iron Man,2008,Jeff Bridges,Obadiah Stane
0,Iron Man,2008,Gwyneth Paltrow,Pepper Potts
0,Iron Man,2008,Leslie Bibb,Christine Everhart
0,Iron Man,2008,Shaun Toub,Yinsen
0,Iron Man,2008,Faran Tahir,Raza
0,Iron Man,2008,Clark Gregg,Agent Coulson
0,Iron Man,2008,Bill Smitrovich,General Gabriel
0,Iron Man,2008,Sayed Badreya,Abu Bakaar
0,Iron Man,2008,Paul Bettany,Jarvis
0,Iron Man,2008,Jon Favreau,Hogan
0,Iron Man,2008,Peter Billingsley,William Ginter Riva
0,Iron Man,2008,Tim Guinee,Major Allen
0,Iron Man,2008,Will Lyman,Award Ceremony Narrator (voice)
1,The Incredible Hulk,2008,Edward Norton,Bruce Banner
1,The Incredible Hulk,2008,Liv Tyler,Betty Ross
1,The Incredible Hulk,2008,Tim Roth,Emil Blonsky
1,The Incredible Hulk,2008,William Hurt,General 'Thunderbolt' Ross
1,The Incredible Hulk,2008,Tim Blake Nelson,Samuel Sterns
1,The Incredible Hulk,2008,Ty Burrell,Leonard
1,The Incredible Hulk,2008,Christina Cabot,Major Kathleen Sparr
1,The Incredible Hulk,2008,Peter Mensah,General Joe Greller
1,The Incredible Hulk,2008,Lou Ferrigno,The Incredible Hulk
1,The Incredible Hulk,2008,Paul Soles,Stanley
1,The Incredible Hulk,2008,Débora Nascimento,Martina
1,The Incredible Hulk,2008,Greg Bryk,Commando
1,The Incredible Hulk,2008,Chris Owens,Commando
1,The Incredible Hulk,2008,Al Vrkljan,Commando (as Alan Vrkljan)
1,The Incredible Hulk,2008,Adrian Hein,Commando
2,Iron Man 2,2010,Robert Downey Jr.,Tony Stark
2,Iron Man 2,2010,Gwyneth Paltrow,Pepper Potts
2,Iron Man 2,2010,Don Cheadle,Lt. Col. James 'Rhodey' Rhodes
2,Iron Man 2,2010,Scarlett Johansson,Natalie Rushman / Natasha Romanoff
2,Iron Man 2,2010,Sam Rockwell,Justin Hammer
2,Iron Man 2,2010,Mickey Rourke,Ivan Vanko
2,Iron Man 2,2010,Samuel L. Jackson,Nick Fury
2,Iron Man 2,2010,Clark Gregg,Agent Coulson
2,Iron Man 2,2010,John Slattery,Howard Stark
2,Iron Man 2,2010,Garry Shandling,Senator Stern
2,Iron Man 2,2010,Paul Bettany,Jarvis
2,Iron Man 2,2010,Kate Mara,U.S. Marshal
2,Iron Man 2,2010,Leslie Bibb,Christine Everhart
2,Iron Man 2,2010,Jon Favreau,Happy Hogan
2,Iron Man 2,2010,Christiane Amanpour,Christiane Amanpour
3,Thor,2011,Chris Hemsworth,Thor
3,Thor,2011,Natalie Portman,Jane Foster
3,Thor,2011,Tom Hiddleston,Loki
3,Thor,2011,Anthony Hopkins,Odin
3,Thor,2011,Stellan Skarsgård,Erik Selvig
3,Thor,2011,Kat Dennings,Darcy Lewis
3,Thor,2011,Clark Gregg,Agent Coulson
3,Thor,2011,Colm Feore,King Laufey
3,Thor,2011,Idris Elba,Heimdall
3,Thor,2011,Ray Stevenson,Volstagg
