source,target,type,id,label,timeset,weight
803,802,Directed,1,,,
804,799,Directed,2,,,
805,798,Directed,3,,,
806,798,Directed,4,,,
806,796,Directed,5,,,
807,797,Directed,6,,,
808,797,Directed,7,,,
808,796,Directed,8,,,
808,795,Directed,9,,,
808,799,Directed,10,,,
810,795,Directed,11,,,
811,798,Directed,12,,,
812,800,Directed,13,,,
812,801,Directed,14,,,
812,802,Directed,15,,,
813,802,Directed,16,,,
814,799,Directed,17,,,
814,798,Directed,18,,,
815,801,Directed,19,,,
816,797,Directed,20,,,
817,802,Directed,21,,,
818,795,Directed,22,,,
819,796,Directed,23,,,
820,798,Directed,24,,,
821,799,Directed,25,,,
821,796,Directed,26,,,
821,797,Directed,27,,,
821,795,Directed,28,,,
821,801,Directed,29,,,
822,797,Directed,30,,,
823,800,Directed,31,,,
824,802,Directed,32,,,
825,798,Directed,33,,,
826,798,Directed,34,,,
826,796,Directed,35,,,
827,796,Directed,36,,,
827,798,Directed,37,,,
827,800,Directed,38,,,
828,800,Directed,39,,,
828,801,Directed,40,,,
828,798,Directed,41,,,
828,796,Directed,42,,,
829,795,Directed,43,,,
830,802,Directed,44,,,
829,802,Directed,45,,,
832,795,Directed,46,,,
833,796,Directed,47,,,
833,795,Directed,48,,,
833,797,Directed,49,,,
833,798,Directed,50,,,
833,799,Directed,51,,,
833,801,Directed,52,,,
833,802,Directed,53,,,
833,800,Directed,54,,,
834,795,Directed,55,,,
835,796,Directed,56,,,
835,798,Directed,57,,,
835,801,Directed,58,,,
835,800,Directed,59,,,
835,802,Directed,60,,,
836,799,Directed,61,,,
836,797,Directed,62,,,
837,797,Directed,63,,,
837,799,Directed,64,,,
837,800,Directed,65,,,
838,801,Directed,66,,,
838,802,Directed,67,,,
838,799,Directed,68,,,
839,798,Directed,69,,,
840,802,Directed,70,,,
841,799,Directed,71,,,
842,799,Directed,72,,,
843,801,Directed,73,,,
844,800,Directed,74,,,
844,801,Directed,75,,,
845,801,Directed,76,,,
846,796,Directed,77,,,
847,795,Directed,78,,,
844,796,Directed,79,,,
849,799,Directed,80,,,
850,801,Directed,81,,,
851,796,Directed,82,,,
852,800,Directed,83,,,
853,799,Directed,84,,,
847,802,Directed,85,,,
855,796,Directed,86,,,
808,801,Directed,87,,,
857,799,Directed,88,,,
859,795,Directed,89,,,
858,802,Directed,90,,,
858,800,Directed,91,,,
860,800,Directed,92,,,
861,795,Directed,93,,,
862,795,Directed,94,,,
863,800,Directed,95,,,
863,802,Directed,96,,,
863,801,Directed,97,,,
864,801,Directed,98,,,
864,802,Directed,99,,,
864,800,Directed,100,,,
864,796,Directed,101,,,
864,798,Directed,102,,,
864,797,Directed,103,,,
865,795,Directed,104,,,
866,797,Directed,105,,,
867,797,Directed,106,,,
868,797,Directed,107,,,
869,795,Directed,108,,,
870,797,Directed,109,,,
871,799,Directed,110,,,
872,797,Directed,111,,,
872,795,Directed,112,,,
872,796,Directed,113,,,
872,799,Directed,114,,,
872,801,Directed,115,,,
875,798,Directed,116,,,
876,800,Directed,117,,,
877,800,Directed,118,,,
877,798,Directed,119,,,
879,797,Directed,120,,,
