id,label,timeset,morder,myear,mcost,mgross,mprofit,mtomatometer,maudience,aname,atwitter,afacebook,type,role,rank
1,Harry Potter e a Pedra Filosofal,,0,2001,0,0,0,0,0,Harry Potter e a Pedra Filosofal,0,0,movie,movie,200
2,Harry Potter e a Câmara Secreta,,1,2002,0,0,0,0,0,Harry Potter e a Câmara Secreta,0,0,movie,movie,200
3,Harry Potter e o Prisioneiro de Azkaban,,2,2004,0,0,0,0,0,Harry Potter e o Prisioneiro de Azkaban,0,0,movie,movie,200
4,Harry Potter e o Cálice de Fogo,,3,2005,0,0,0,0,0,Harry Potter e o Cálice de Fogo,0,0,movie,movie,200
5,Harry Potter e a Ordem da Fênix,,4,2007,0,0,0,0,0,Harry Potter e a Ordem da Fênix,0,0,movie,movie,200
6,Harry Potter e o Enigma do Príncipe,,5,2009,0,0,0,0,0,Harry Potter e o Enigma do Príncipe,0,0,movie,movie,200
7,Harry Potter e as Relíquias da Morte: Parte 1,,6,2010,0,0,0,0,0,Harry Potter e as Relíquias da Morte: Parte 1,0,0,movie,movie,200
8,Harry Potter e as Relíquias da Morte: Parte 2,,7,2011,0,0,0,0,0,Harry Potter e as Relíquias da Morte: Parte 2,0,0,movie,movie,200
9,Aberforth Dumbledore,,7,2011,0,0,0,0,0,Ciarán Hinds,0,0,actor,,20
10,Aberforth Dumbledore,,4,2007,0,0,0,0,0,Jim McManus,0,0,actor,,20
11,Adrian Pucey,,0,2001,0,0,0,0,0,David Holmes,0,0,actor,,20
12,Adrian Pucey,,0,2001,0,0,0,0,0,Scot Fearn,0,0,actor,,20
13,Aged Gringotts' Goblin,,0,2001,0,0,0,0,0,Rusty Goffe,0,0,actor,,10
14,Alastor 'Mad-­Eye' Moody,,3,2005,0,0,0,0,0,Brendan Gleeson,0,0,actor,,10
15,Alastor 'Mad-Eye' Moody,,3,2005,0,0,0,0,0,Brendan Gleeson,0,0,actor,,10
16,Albert Runcorn,,6,2010,0,0,0,0,0,David O'Hara,0,0,actor,,10
17,Albus Dumbledore,,2,2004,0,0,0,0,0,Michael Gambon,0,0,actor,,20
18,Albus Percival Wulfric Brian Dumbledore,,2,2004,0,0,0,0,0,Michael Gambon,0,0,actor,,10
19,Albus Severus Potter - 19 Years Later,,7,2011,0,0,0,0,0,Arthur Bowen,0,0,actor,,10
20,Alecto,,5,2009,0,0,0,0,0,Suzanne Toase,0,0,actor,,10
21,Alecto Carrow,,5,2009,0,0,0,0,0,Suzanne Toase,0,0,actor,,20
22,Alicia Spinnet,,0,2001,0,0,0,0,0,Leilah Sutherland,0,0,actor,,20
23,Alicia Spinnet,,1,2002,0,0,0,0,0,Rochelle Douglas,0,0,actor,,20
24,Amelia Bones,,4,2007,0,0,0,0,0,Sian Thomas,0,0,actor,,10
25,Amos Diggory,,3,2005,0,0,0,0,0,Jeff Rawle,0,0,actor,,10
26,Amycus,,5,2009,0,0,0,0,0,Ralph Ineson,0,0,actor,,10
27,Amycus Carrow,,5,2009,0,0,0,0,0,Ralph Ineson,0,0,actor,,20
28,Angelina Johnson,,0,2001,0,0,0,0,0,Danielle Tabor,0,0,actor,,40
29,Angelina Johnson,,3,2005,0,0,0,0,0,Tiana Benjamin,0,0,actor,,40
30,Antonin Dolohov,,4,2007,0,0,0,0,0,Arben Bajraktaraj,0,0,actor,,10
31,Aragog,,1,2002,0,0,0,0,0,Julian Glover,0,0,actor,,10
32,Argus Filch,,0,2001,0,0,0,0,0,David Bradley,0,0,actor,,70
33,Ariana Dumbledore,,7,2011,0,0,0,0,0,Hebe Beardsall,0,0,actor,,10
34,Arthur Weasley,,1,2002,0,0,0,0,0,Mark Williams,0,0,actor,,60
35,Aunt Marge,,2,2004,0,0,0,0,0,Pam Ferris,0,0,actor,,10
36,Aunt Petunia,,0,2001,0,0,0,0,0,Fiona Shaw,0,0,actor,,10
37,Aunt Petunia Dursley,,0,2001,0,0,0,0,0,Fiona Shaw,0,0,actor,,30
38,Auntie Muriel Weasley,,6,2010,0,0,0,0,0,Matyelok Gibbs,0,0,actor,,10
39,Azkaban Death Eater,,4,2007,0,0,0,0,0,Arben Bajraktaraj,0,0,actor,,10
40,Baby Harry Potter,,0,2001,0,0,0,0,0,Saunders Triplets,0,0,actor,,20
41,Baby Harry Potter,,7,2011,0,0,0,0,0,Toby Papworth,0,0,actor,,20
42,Baby in Portrait,,2,2004,0,0,0,0,0,Tess Bu Cuarón,0,0,actor,,10
43,Balding Wizard,,6,2010,0,0,0,0,0,George Potts,0,0,actor,,10
44,Band Rhythm Guitar,,3,2005,0,0,0,0,0,Jason Buckle,0,0,actor,,10
45,Bartemius 'Barty' Crouch,,3,2005,0,0,0,0,0,Roger Lloyd Pack,0,0,actor,,10
46,Bartemius 'Barty' Crouch Junior,,3,2005,0,0,0,0,0,David Tennant,0,0,actor,,10
47,Bathilda Bagshot,,6,2010,0,0,0,0,0,Hazel Douglas,0,0,actor,,10
48,Bellatrix Lestrange,,4,2007,0,0,0,0,0,Helena Bonham Carter,0,0,actor,,40
49,Bill Weasley,,6,2010,0,0,0,0,0,Domhnall Gleeson,0,0,actor,,20
50,Blaise Zabini,,5,2009,0,0,0,0,0,Louis Cordice,0,0,actor,,30
51,Bogrod,,7,2011,0,0,0,0,0,Jon Key,0,0,actor,,10
52,Boy 1,,2,2004,0,0,0,0,0,Ekow Quartey,0,0,actor,,10
53,Boy 2,,2,2004,0,0,0,0,0,Rick Sahota,0,0,actor,,10
54,Bushy Haired Muttering Wizard,,6,2010,0,0,0,0,0,Daniel Hill,0,0,actor,,10
55,Cedric Diggory,,3,2005,0,0,0,0,0,Robert Pattinson,0,0,actor,,20
56,Charity Burbage,,6,2010,0,0,0,0,0,Carolyn Pickles,0,0,actor,,10
57,Child at Zoo,,0,2001,0,0,0,0,0,Kieri Kennedy,0,0,actor,,10
58,Cho Chang,,3,2005,0,0,0,0,0,Katie Leung,0,0,actor,,50
