source,target,type,id,label,timeset,weight
19,1,Directed,1,,,
20,3,Directed,2,,,
21,5,Directed,3,,,
22,12,Directed,4,,,
23,12,Directed,5,,,
24,8,Directed,6,,,
25,8,Directed,7,,,
25,5,Directed,8,,,
25,12,Directed,9,,,
25,14,Directed,10,,,
25,10,Directed,11,,,
25,15,Directed,12,,,
26,6,Directed,13,,,
26,3,Directed,14,,,
26,4,Directed,15,,,
26,1,Directed,16,,,
26,8,Directed,17,,,
27,12,Directed,18,,,
28,4,Directed,19,,,
29,8,Directed,20,,,
30,8,Directed,21,,,
31,8,Directed,22,,,
31,6,Directed,23,,,
31,14,Directed,24,,,
31,10,Directed,25,,,
32,4,Directed,26,,,
33,8,Directed,27,,,
34,8,Directed,28,,,
35,8,Directed,29,,,
36,10,Directed,30,,,
36,17,Directed,31,,,
37,12,Directed,32,,,
38,8,Directed,33,,,
39,12,Directed,34,,,
40,1,Directed,35,,,
41,8,Directed,36,,,
42,16,Directed,37,,,
43,7,Directed,38,,,
44,12,Directed,39,,,
45,8,Directed,40,,,
46,10,Directed,41,,,
47,9,Directed,42,,,
48,8,Directed,43,,,
49,8,Directed,44,,,
50,8,Directed,45,,,
51,12,Directed,46,,,
52,13,Directed,47,,,
53,8,Directed,48,,,
54,12,Directed,49,,,
55,8,Directed,50,,,
57,3,Directed,51,,,
56,12,Directed,52,,,
58,8,Directed,53,,,
60,7,Directed,54,,,
59,3,Directed,55,,,
61,16,Directed,56,,,
62,18,Directed,57,,,
63,14,Directed,58,,,
63,10,Directed,59,,,
64,13,Directed,60,,,
65,13,Directed,61,,,
66,12,Directed,62,,,
67,2,Directed,63,,,
68,7,Directed,64,,,
69,3,Directed,65,,,
70,8,Directed,66,,,
71,8,Directed,67,,,
72,13,Directed,68,,,
73,16,Directed,69,,,
74,8,Directed,70,,,
75,9,Directed,71,,,
76,7,Directed,72,,,
77,10,Directed,73,,,
77,17,Directed,74,,,
80,14,Directed,75,,,
79,14,Directed,76,,,
79,6,Directed,77,,,
80,7,Directed,78,,,
78,2,Directed,79,,,
79,2,Directed,80,,,
80,6,Directed,81,,,
81,5,Directed,82,,,
81,10,Directed,83,,,
81,17,Directed,84,,,
81,15,Directed,85,,,
82,12,Directed,86,,,
83,8,Directed,87,,,
84,8,Directed,88,,,
85,12,Directed,89,,,
86,9,Directed,90,,,
86,11,Directed,91,,,
87,8,Directed,92,,,
88,8,Directed,93,,,
89,12,Directed,94,,,
90,8,Directed,95,,,
91,15,Directed,96,,,
92,8,Directed,97,,,
93,8,Directed,98,,,
94,3,Directed,99,,,
95,3,Directed,100,,,
95,1,Directed,101,,,
96,13,Directed,102,,,
96,16,Directed,103,,,
97,18,Directed,104,,,
98,13,Directed,105,,,
99,14,Directed,106,,,
99,4,Directed,107,,,
99,6,Directed,108,,,
99,17,Directed,109,,,
100,5,Directed,110,,,
101,13,Directed,111,,,
102,11,Directed,112,,,
103,11,Directed,113,,,
104,13,Directed,114,,,
104,16,Directed,115,,,
105,8,Directed,116,,,
106,12,Directed,117,,,
107,8,Directed,118,,,
108,4,Directed,119,,,
108,9,Directed,120,,,
109,15,Directed,121,,,
110,15,Directed,122,,,
111,8,Directed,123,,,
112,11,Directed,124,,,
113,16,Directed,125,,,
114,13,Directed,126,,,
115,12,Directed,127,,,
116,8,Directed,128,,,
117,13,Directed,129,,,
118,18,Directed,130,,,
119,16,Directed,131,,,
120,12,Directed,132,,,
121,5,Directed,133,,,
122,5,Directed,134,,,
122,12,Directed,135,,,
122,10,Directed,136,,,
123,12,Directed,137,,,
124,8,Directed,138,,,
125,15,Directed,139,,,
126,14,Directed,140,,,
127,12,Directed,141,,,
128,14,Directed,142,,,
128,10,Directed,143,,,
128,8,Directed,144,,,
129,12,Directed,145,,,
130,18,Directed,146,,,
131,8,Directed,147,,,
132,11,Directed,148,,,
133,2,Directed,149,,,
134,8,Directed,150,,,
135,12,Directed,151,,,
136,9,Directed,152,,,
137,13,Directed,153,,,
138,13,Directed,154,,,
139,8,Directed,155,,,
140,8,Directed,156,,,
141,3,Directed,157,,,
142,2,Directed,158,,,
143,15,Directed,159,,,
144,8,Directed,160,,,
145,4,Directed,161,,,
145,6,Directed,162,,,
145,14,Directed,163,,,
145,9,Directed,164,,,
146,17,Directed,165,,,
147,17,Directed,166,,,
147,14,Directed,167,,,
149,9,Directed,168,,,
148,4,Directed,169,,,
150,13,Directed,170,,,
151,8,Directed,171,,,
152,13,Directed,172,,,
153,13,Directed,173,,,
154,9,Directed,174,,,
154,4,Directed,175,,,
155,5,Directed,176,,,
156,11,Directed,177,,,
157,1,Directed,178,,,
158,8,Directed,179,,,
159,2,Directed,180,,,
159,17,Directed,181,,,
160,7,Directed,182,,,
161,10,Directed,183,,,
162,6,Directed,184,,,
163,8,Directed,185,,,
164,8,Directed,186,,,
165,8,Directed,187,,,
166,11,Directed,188,,,
167,8,Directed,189,,,
168,11,Directed,190,,,
169,13,Directed,191,,,
170,12,Directed,192,,,
171,8,Directed,193,,,
172,7,Directed,194,,,
172,1,Directed,195,,,
172,3,Directed,196,,,
173,12,Directed,197,,,
174,7,Directed,198,,,
175,4,Directed,199,,,
175,14,Directed,200,,,
175,9,Directed,201,,,
176,5,Directed,202,,,
177,13,Directed,203,,,
178,1,Directed,204,,,
178,7,Directed,205,,,
179,4,Directed,206,,,
179,9,Directed,207,,,
180,8,Directed,208,,,
181,16,Directed,209,,,
182,15,Directed,210,,,
185,15,Directed,211,,,
185,17,Directed,212,,,
185,3,Directed,213,,,
184,1,Directed,214,,,
183,5,Directed,215,,,
183,12,Directed,216,,,
186,11,Directed,217,,,
187,12,Directed,218,,,
188,9,Directed,219,,,
189,8,Directed,220,,,
190,8,Directed,221,,,
191,4,Directed,222,,,
192,8,Directed,223,,,
193,3,Directed,224,,,
194,3,Directed,225,,,
195,13,Directed,226,,,
196,10,Directed,227,,,
197,12,Directed,228,,,
198,5,Directed,229,,,
199,13,Directed,230,,,
200,8,Directed,231,,,
201,5,Directed,232,,,
202,3,Directed,233,,,
203,1,Directed,234,,,
202,7,Directed,235,,,
202,14,Directed,236,,,
202,17,Directed,237,,,
204,13,Directed,238,,,
205,9,Directed,239,,,
205,4,Directed,240,,,
206,15,Directed,241,,,
207,17,Directed,242,,,
207,3,Directed,243,,,
207,1,Directed,244,,,
207,6,Directed,245,,,
207,7,Directed,246,,,
207,14,Directed,247,,,
208,12,Directed,248,,,
209,8,Directed,249,,,
210,13,Directed,250,,,
210,16,Directed,251,,,
211,16,Directed,252,,,
212,8,Directed,253,,,
213,8,Directed,254,,,
213,5,Directed,255,,,
214,1,Directed,256,,,
215,7,Directed,257,,,
216,8,Directed,258,,,
217,5,Directed,259,,,
218,8,Directed,260,,,
219,12,Directed,261,,,
220,3,Directed,262,,,
221,8,Directed,263,,,
222,13,Directed,264,,,
223,8,Directed,265,,,
224,8,Directed,266,,,
225,16,Directed,267,,,
226,4,Directed,268,,,
227,17,Directed,269,,,
228,11,Directed,270,,,
