order,movie,year,actor,character,rank
0,Homem de Ferro,2008,Robert Downey Jr.,Tony Stark,10
0,Homem de Ferro,2008,Terrence Howard,Rhodey,10
0,Homem de Ferro,2008,Jeff Bridges,Obadiah Stane,10
0,Homem de Ferro,2008,Gwyneth Paltrow,Pepper Potts,10
0,Homem de Ferro,2008,Leslie Bibb,Christine Everhart,10
0,Homem de Ferro,2008,Shaun Toub,Yinsen,10
0,Homem de Ferro,2008,Faran Tahir,Raza,10
0,Homem de Ferro,2008,Clark Gregg,Agent Coulson,10
0,Homem de Ferro,2008,Bill Smitrovich,General Gabriel,10
0,Homem de Ferro,2008,Sayed Badreya,Abu Bakaar,10
0,Homem de Ferro,2008,Paul Bettany,Jarvis,10
0,Homem de Ferro,2008,Jon Favreau,Hogan,10
0,Homem de Ferro,2008,Peter Billingsley,William Ginter Riva,10
0,Homem de Ferro,2008,Tim Guinee,Major Allen,10
0,Homem de Ferro,2008,Kevin Foster,Jimmy,10
0,Homem de Ferro,2008,Garret Noël,Pratt,10
0,Homem de Ferro,2008,Eileen Weisinger,Ramirez,10
0,Homem de Ferro,2008,Ahmed Ahmed,Ahmed,10
0,Homem de Ferro,2008,Gerard Sanders,Howard Stark,10
0,Homem de Ferro,2008,Stan Lee,Stan Lee,10
0,Homem de Ferro,2008,Samuel L. Jackson,Nick Fury,10
1,O Incrível Hulk,2008,Edward Norton,Bruce Banner,10
1,O Incrível Hulk,2008,Liv Tyler,Betty Ross,10
1,O Incrível Hulk,2008,Tim Roth,Emil Blonsky,10
1,O Incrível Hulk,2008,William Hurt,General 'Thunderbolt' Ross,10
1,O Incrível Hulk,2008,Tim Blake Nelson,Samuel Sterns,10
1,O Incrível Hulk,2008,Ty Burrell,Leonard,10
1,O Incrível Hulk,2008,Christina Cabot,Major Kathleen Sparr,10
1,O Incrível Hulk,2008,Lou Ferrigno,The Incredible Hulk,10
1,O Incrível Hulk,2008,Paul Soles,Stanley,10
1,O Incrível Hulk,2008,Martin Starr,Computer Nerd,10
1,O Incrível Hulk,2008,Nicholas Rose,McGee,10
1,O Incrível Hulk,2008,Bill Bixby,Tom Corbett,10
1,O Incrível Hulk,2008,Brandon Cruz,Eddie Corbett,10
1,O Incrível Hulk,2008,Robert Downey Jr.,Tony Stark,10
1,O Incrível Hulk,2008,Stan Lee,Milwaukee Man Drinking From Bottle,10
2,Homem de Ferro 2,2010,Robert Downey Jr.,Tony Stark,10
2,Homem de Ferro 2,2010,Gwyneth Paltrow,Pepper Potts,10
2,Homem de Ferro 2,2010,Don Cheadle,Lt. Col. James 'Rhodey' Rhodes,10
2,Homem de Ferro 2,2010,Scarlett Johansson,Natalie Rushman,10
2,Homem de Ferro 2,2010,Sam Rockwell,Justin Hammer,10
2,Homem de Ferro 2,2010,Mickey Rourke,Ivan Vanko,10
2,Homem de Ferro 2,2010,Samuel L. Jackson,Nick Fury,10
2,Homem de Ferro 2,2010,Clark Gregg,Agent Coulson,10
2,Homem de Ferro 2,2010,John Slattery,Howard Stark,10
2,Homem de Ferro 2,2010,Garry Shandling,Senator Stern,10
2,Homem de Ferro 2,2010,Paul Bettany,Jarvis,10
2,Homem de Ferro 2,2010,Kate Mara,U.S. Marshal,10
2,Homem de Ferro 2,2010,Leslie Bibb,Christine Everhart,10
2,Homem de Ferro 2,2010,Jon Favreau,Happy Hogan,10
2,Homem de Ferro 2,2010,Christiane Amanpour,Christiane Amanpour,10
2,Homem de Ferro 2,2010,DJ AM,Adam Goldstein,10
2,Homem de Ferro 2,2010,Tim Guinee,Major Allen,10
2,Homem de Ferro 2,2010,Evgeniy Lazarev,Anton Vanko,10
2,Homem de Ferro 2,2010,Stan Lee,Stan Lee,10
2,Homem de Ferro 2,2010,Margy Stein,Bambi Arbogast,10
2,Homem de Ferro 2,2010,Elon Musk,Elon Musk,10
2,Homem de Ferro 2,2010,Bill O'Reilly,Bill O'Reilly,10
2,Homem de Ferro 2,2010,Davin Ransom,Young Tony Stark,10
2,Homem de Ferro 2,2010,Jack White,Jack,10
3,Thor,2011,Chris Hemsworth,Thor,10
3,Thor,2011,Natalie Portman,Jane Foster,10
3,Thor,2011,Tom Hiddleston,Loki,10
3,Thor,2011,Anthony Hopkins,Odin,10
3,Thor,2011,Stellan Skarsgård,Erik Selvig,10
3,Thor,2011,Kat Dennings,Darcy Lewis,10
3,Thor,2011,Clark Gregg,Agent Coulson,10
3,Thor,2011,Colm Feore,King Laufey,10
3,Thor,2011,Idris Elba,Heimdall,10
3,Thor,2011,Ray Stevenson,Volstagg,10
3,Thor,2011,Tadanobu Asano,Hogun,10
3,Thor,2011,Josh Dallas,Fandral,10
3,Thor,2011,Jaimie Alexander,Sif,10
3,Thor,2011,Rene Russo,Frigga,10
3,Thor,2011,Adriana Barraza,Isabela Alvarez,10
3,Thor,2011,Maximiliano Hernández,Agent Sitwell,10
3,Thor,2011,Jamie McShane,Agent Jackson,10
3,Thor,2011,Stan Lee,Stan the Man,10
3,Thor,2011,Dakota Goyo,Young Thor,10
3,Thor,2011,Ted Allpress,Young Loki,10
3,Thor,2011,David Bantly,SHIELD Scientist,10
3,Thor,2011,Troy Brenna,Frost Giant,10
3,Thor,2011,Samuel L. Jackson,Nick Fury,10
3,Thor,2011,Jonaral Martin,Asgardian,10
3,Thor,2011,Keith Middlebrook,Agent McGuire,10
3,Thor,2011,Jeremy Renner,Clint Barton,10
3,Thor,2011,Walter Simonson,Asgardian,10
3,Thor,2011,Douglas Tait,Frost Giant,10
4,Capitão América: O Primeiro Vingador,2011,Chris Evans,Captain America,10
4,Capitão América: O Primeiro Vingador,2011,Hayley Atwell,Peggy Carter,10
4,Capitão América: O Primeiro Vingador,2011,Sebastian Stan,James Buchanan 'Bucky' Barnes,10
4,Capitão América: O Primeiro Vingador,2011,Tommy Lee Jones,Colonel Chester Phillips,10
4,Capitão América: O Primeiro Vingador,2011,Hugo Weaving,Johann Schmidt,10
4,Capitão América: O Primeiro Vingador,2011,Dominic Cooper,Howard Stark,10
4,Capitão América: O Primeiro Vingador,2011,Richard Armitage,Heinz Kruger,10
4,Capitão América: O Primeiro Vingador,2011,Stanley Tucci,Dr. Abraham Erskine,10
4,Capitão América: O Primeiro Vingador,2011,Samuel L. Jackson,Nick Fury,10
4,Capitão América: O Primeiro Vingador,2011,Toby Jones,Dr. Arnim Zola,10
4,Capitão América: O Primeiro Vingador,2011,Neal McDonough,Timothy 'Dum Dum' Dugan,10
4,Capitão América: O Primeiro Vingador,2011,Derek Luke,Gabe Jones,10
4,Capitão América: O Primeiro Vingador,2011,Kenneth Choi,Jim Morita,10
4,Capitão América: O Primeiro Vingador,2011,JJ Feild,James Montgomery Falsworth,10
4,Capitão América: O Primeiro Vingador,2011,Bruno Ricci,Jacques Dernier,10
4,Capitão América: O Primeiro Vingador,2011,Michael Brandon,Senator Brandt,10
4,Capitão América: O Primeiro Vingador,2011,Natalie Dormer,Pvt. Lorraine,10
4,Capitão América: O Primeiro Vingador,2011,James Payton,'Adolph Hitler',10
4,Capitão América: O Primeiro Vingador,2011,Amanda Righetti,SHIELD Agent,10
4,Capitão América: O Primeiro Vingador,2011,Jack Conway,SHIELD Agent,10
4,Capitão América: O Primeiro Vingador,2011,Eddie Davenport,HYDRA Soldier,10
4,Capitão América: O Primeiro Vingador,2011,Paul Davies,Hydra Soldier,10
4,Capitão América: O Primeiro Vingador,2011,Drew Gregory,SHIELD Agent,10
4,Capitão América: O Primeiro Vingador,2011,Todd Von Joel,Hydra Soldier,10
4,Capitão América: O Primeiro Vingador,2011,Jacob Johnston,HYDRA Soldier,10
4,Capitão América: O Primeiro Vingador,2011,Matt Kohler,HYDRA Soldier,10
4,Capitão América: O Primeiro Vingador,2011,Stan Lee,General,10
4,Capitão América: O Primeiro Vingador,2011,Drew Sherman,HYDRA Soldier,10
4,Capitão América: O Primeiro Vingador,2011,Sy Turner,Hydra Soldier,10
5,The Avengers: Os Vingadores,2012,Robert Downey Jr.,Tony Stark,10
5,The Avengers: Os Vingadores,2012,Chris Evans,Steve Rogers,10
5,The Avengers: Os Vingadores,2012,Mark Ruffalo,Bruce Banner,10
5,The Avengers: Os Vingadores,2012,Chris Hemsworth,Thor,10
5,The Avengers: Os Vingadores,2012,Scarlett Johansson,Natasha Romanoff,10
5,The Avengers: Os Vingadores,2012,Jeremy Renner,Clint Barton,10
5,The Avengers: Os Vingadores,2012,Tom Hiddleston,Loki,10
5,The Avengers: Os Vingadores,2012,Clark Gregg,Agent Phil Coulson,10
