id,label,timeset,morder,myear,mcost,mgross,mprofit,mtomatometer,maudience,aname,atwitter,afacebook,type,role,rank
1,Iron Man,,0,2008,140000000,585174222,445174222,94,91,Homem de Ferro,0,0,movie,movie,200
2,The Incredible Hulk,,1,2008,150000000,263427551,113427551,67,71,O Incrível Hulk,0,0,movie,movie,200
3,Iron Man 2,,2,2010,200000000,623933331,423933331,72,72,Homem de Ferro 2,0,0,movie,movie,200
4,Thor,,3,2011,150000000,449326618,299326618,77,76,Thor,0,0,movie,movie,200
5,Captain America: The First Avenger,,4,2011,140000000,370569774,230569774,79,74,Capitão América: O Primeiro Vingador,0,0,movie,movie,200
6,The Avengers,,5,2012,220000000,1519557910,1299557910,92,91,The Avengers: Os Vingadores,0,0,movie,movie,200
7,Iron Man Three,,6,2013,200000000,1215439994,1015439994,79,79,Homem de Ferro 3,0,0,movie,movie,200
8,Agents of S.H.I.E.L.D.,,7,2013,0,0,0,93,0,Agentes da S.H.I.E.L.D.,0,0,tvshow,tvshow,100
9,Thor: The Dark World,,8,2013,170000000,644602516,474602516,66,78,Thor: O Mundo Sombrio,0,0,movie,movie,200
10,Captain America: The Winter Soldier,,9,2014,170000000,714421503,544421503,89,92,Capitão América: O Soldado Invernal,0,0,movie,movie,200
11,Guardians of the Galaxy,,10,2014,170000000,773312399,603312399,91,92,Guardiões da Galáxia,0,0,movie,movie,200
12,Agent Carter,,11,2015,0,0,0,87,0,Agente Carter,0,0,tvshow,tvshow,100
13,Daredevil,,12,2015,0,0,0,86,0,Demolidor,0,0,tvshow,tvshow,100
14,Avengers: Age of Ultron,,13,2015,250000000,1405413868,1155413868,75,84,Vingadores: Era de Ultron,0,0,movie,movie,200
15,Ant-Man,,14,2015,130000000,519445163,389445163,80,87,Homem-Formiga,0,0,movie,movie,200
16,Jessica Jones,,15,2015,0,0,0,93,0,Jessica Jones,0,0,tvshow,tvshow,100
17,Captain America: Civil War,,16,2016,0,0,0,95,99,Capitão América: Guerra Civil,0,0,movie,movie,200
18,Doctor Strange,,17,2016,0,0,0,99,99,Doutor Estranho,0,0,movie,movie,200
19,Abu Bakaar,,0,2008,0,0,0,0,0,Sayed Badreya,0,0,actor,support,10
20,Adam Goldstein,,2,2010,0,0,0,0,0,DJ AM,0,0,actor,support,10
21,Adolph Hitler,,4,2011,0,0,0,0,0,James Payton,0,0,actor,support,10
22,Agent Blackwell,,11,2015,0,0,0,0,0,Russell Edge,0,0,actor,support,2
23,Agent Butch Wallace,,11,2015,0,0,0,0,0,Patrick Robert Smith,0,0,actor,support,2
24,Agent Calderon,,7,2013,0,0,0,0,0,Kirk Acevedo,0,0,actor,support,2
25,Agent Carter,,4,2011,0,0,0,0,0,Hayley Atwell,0,0,actor,shield,60
26,Agent Coulson,,0,2008,0,0,0,0,0,Clark Gregg,0,0,actor,shield,106
27,Agent Fisher,,11,2015,0,0,0,0,0,Kevin Ashworth,0,0,actor,support,2
28,Agent Jackson,,3,2011,0,0,0,0,0,Jamie McShane,0,0,actor,support,10
29,Agent Kaminsky,,7,2013,0,0,0,0,0,Jeffrey Muller,0,0,actor,support,3
30,Agent Kwan,,7,2013,0,0,0,0,0,Tzi Ma,0,0,actor,support,1
31,Agent Maria Hill,,5,2012,0,0,0,0,0,Cobie Smulders,0,0,actor,shield,33
32,Agent McGuire,,3,2011,0,0,0,0,0,Keith Middlebrook,0,0,actor,support,10
33,Agent Melinda May,,7,2013,0,0,0,0,0,Ming-Na Wen,0,0,actor,shield,66
34,Agent Noelle Walters,,7,2013,0,0,0,0,0,Melanie Cruz,0,0,actor,support,1
35,Agent Oliver,,7,2013,0,0,0,0,0,Mark Allan Stewart,0,0,actor,support,5
36,Agent Sharon Carter,,9,2014,0,0,0,0,0,Emily VanCamp,0,0,actor,shield,20
37,Agent Vega,,11,2015,0,0,0,0,0,Rey Valentin,0,0,actor,support,5
38,Agent Weaver,,7,2013,0,0,0,0,0,Christine Adams,0,0,actor,support,9
39,Agent Yauch,,11,2015,0,0,0,0,0,Alexander Carroll,0,0,actor,support,5
40,Ahmed,,0,2008,0,0,0,0,0,Ahmed Ahmed,0,0,actor,support,10
41,Akela Amador,,7,2013,0,0,0,0,0,Pascale Armand,0,0,actor,support,1
42,Albert Thompson,,15,2015,0,0,0,0,0,Michael Siberry,0,0,actor,support,5
43,Aldrich Killian,,6,2013,0,0,0,0,0,Guy Pearce,0,0,actor,support,10
44,Alex Doobin,,11,2015,0,0,0,0,0,Kevin Cotteleer,0,0,actor,support,2
45,Alexander Braun,,7,2013,0,0,0,0,0,Spencer Treat Clark,0,0,actor,support,4
46,Alexander Pierce,,9,2014,0,0,0,0,0,Robert Redford,0,0,actor,villain,10
47,Algrim,,8,2013,0,0,0,0,0,Adewale Akinnuoye-Agbaje,0,0,actor,support,10
48,Alisha,,7,2013,0,0,0,0,0,Alicia Vela-Bailey,0,0,actor,support,6
49,Alpha,,7,2013,0,0,0,0,0,Michael J. Silver,0,0,actor,support,1
50,Alphonso 'Mack' Mackenzie,,7,2013,0,0,0,0,0,Henry Simmons,0,0,actor,support,44
51,Ana Jarvis,,11,2015,0,0,0,0,0,Lotte Verbeek,0,0,actor,support,7
52,Anatoly Ranskahov,,12,2015,0,0,0,0,0,Gideon Emery,0,0,actor,support,2
53,Andrew Garner,,7,2013,0,0,0,0,0,Blair Underwood,0,0,actor,support,10
54,Angie Martinelli,,11,2015,0,0,0,0,0,Lyndsy Fonseca,0,0,actor,support,7
55,Antoine Triplett,,7,2013,0,0,0,0,0,B.J. Britt,0,0,actor,support,18
56,Anton Vanko,,11,2015,0,0,0,0,0,Costa Ronin,0,0,actor,support,11
57,Anton Vanko,,2,2010,0,0,0,0,0,Evgeniy Lazarev,0,0,actor,support,11
58,Audrey Nathan,,7,2013,0,0,0,0,0,Amy Acker,0,0,actor,support,1
59,Bambi Arbogast,,2,2010,0,0,0,0,0,Margy Stein,0,0,actor,support,20
60,Bambi Arbogast,,6,2013,0,0,0,0,0,Susie Pratt,0,0,actor,support,20
61,Barbara Shlottman,,15,2015,0,0,0,0,0,Deborah Hedwall,0,0,actor,support,1
62,Baron Mordo,,17,2016,0,0,0,0,0,Chiwetel Ejiofor,0,0,actor,villain,10
63,Baron Wolfgang von Strucker,,9,2014,0,0,0,0,0,Thomas Kretschmann,0,0,actor,villain,20
64,Ben Urich,,12,2015,0,0,0,0,0,Vondie Curtis-Hall,0,0,actor,undefined,9
65,Benjamin Donovan,,12,2015,0,0,0,0,0,Danny Johnson,0,0,actor,support,2
66,Betty Carver (Radio Actor),,11,2015,0,0,0,0,0,Erin Torpey,0,0,actor,support,2
67,Betty Ross,,1,2008,0,0,0,0,0,Liv Tyler,0,0,actor,support,10
68,Bill Maher,,6,2013,0,0,0,0,0,Bill Maher,0,0,actor,support,10
69,Bill O'Reilly,,2,2010,0,0,0,0,0,Bill O'Reilly,0,0,actor,support,10
70,Billy Koenig,,7,2013,0,0,0,0,0,Patton Oswalt,0,0,actor,support,7
71,Bishop,,7,2013,0,0,0,0,0,Roberto Medina,0,0,actor,support,1
72,Blake Tower,,12,2015,0,0,0,0,0,Stephen Rider,0,0,actor,support,7
73,Bob Shlottman,,15,2015,0,0,0,0,0,Ian Blackman,0,0,actor,support,1
74,Bobbi Morse,,7,2013,0,0,0,0,0,Adrianne Palicki,0,0,actor,support,31
